experiment,method,label,sample_episodes,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample,actor_class,fit_steps,direction_method,variant,source_n,target_n
P-E,AN,exact_advantage,128,False,direction_steps,100.0,0.0,4,100.0,100.0,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,q_bound,5.0,0.0,4,5.0,5.0,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,q_coefficient_0,0.2982880455950136,0.1578122151418792,4,0.1375495604151729,0.4182199669595104,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,q_coefficient_1,0.3888201471497499,0.20013012299686705,4,0.25497358400155995,0.5776029960694649,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,source_steps_total,628.0,0.0,4,628.0,628.0,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,source_steps_training,128.0,0.0,4,128.0,128.0,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,source_steps_validation,500.0,0.0,4,500.0,500.0,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,direction_error,0.04164590513810133,0.04691601680704948,4,0.006167930845843027,0.08571914928406375,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,direction_norm,0.13229830901102838,0.12608130223554087,4,0.05146194561635873,0.25662579108763595,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,exact_score,0.02488209486189861,0.046916016807049474,4,-0.019191149284063805,0.06036006915415691,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,validation_score,0.04626916637575608,0.02956674626115731,4,0.021145404385805637,0.07285814221963216,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,validation_score_variance,0.7108373242911562,0.5196953270888218,4,0.3507474283040013,1.23451683316056,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,validation_gradient_trace_variance,4.171110541950554,0.8896986031263733,4,3.408670896690036,5.008049647598782,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,fixed_oracle_q_score_variance,0.3550382414138693,0.08956200903623099,4,0.28096691899759074,0.42910956383014776,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,fixed_oracle_q_gradient_trace_variance,4.165263753132878,0.9719555664099913,4,3.3318310973693865,5.0642988558816455,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,curvature_min,0.36,0.0,4,0.36,0.36,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,curvature_max,1.9599999999999997,0.0,4,1.9599999999999997,1.9599999999999997,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,optimization_seconds,0.009160925168544054,0.0015853373260092125,4,0.008233775151893497,0.010761300101876259,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,direction_loss,-0.12935738740402877,0.12031559997821803,4,-0.24681779005587073,-0.050474002634271015,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,direction_steps,100.0,0.0,4,100.0,100.0,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,q_bound,5.0,0.0,4,5.0,5.0,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,q_coefficient_0,0.2874140942694816,0.1488797490192432,4,0.13214625319319387,0.3908181566398897,training_seed_or_data_batch,True,,,,,,
P-E,SA,exact_advantage,128,False,q_coefficient_1,0.40121215716485226,0.21716850267557486,4,0.2615161585754399,0.6103733263039862,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,source_steps_total,628.0,0.0,4,628.0,628.0,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,source_steps_training,128.0,0.0,4,128.0,128.0,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,source_steps_validation,500.0,0.0,4,500.0,500.0,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,direction_error,0.046866679865031124,0.04759446575969617,4,0.007784690141400322,0.09029045470054915,training_seed_or_data_batch,True,,,,,,
