condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
pg,100,52428,52224,51,1.9468262616193261
pg,100,65536,65536,64,1.9530590601986129
pg,100,78643,77824,76,1.9553995758649438
pg,100,91750,91136,89,1.9568140961155498
pg,100,104857,104448,102,1.957776420618919
pg,100,117964,117760,115,1.9584889596959465
pg,100,131072,131072,128,1.9590483231976696
pg,100,144179,143360,140,1.9594665330203556
pg,100,157286,156672,153,1.9598353153311074
pg,100,170393,169984,166,1.9601393456571208
pg,100,183500,183296,179,1.9603970871837102
pg,100,196608,196608,192,1.9606159279712176
pg,100,209715,208896,204,1.9607908742070475
pg,100,222822,222208,217,1.960952638772501
pg,100,235929,235520,230,1.961092517550567
pg,100,249036,248832,243,1.9612182000513325
pg,100,262144,262144,256,1.9613307556400768
pg,101,0,0,0,0.3837599999999998
pg,101,13107,12288,12,1.1363397907300061
pg,101,26214,25600,25,1.7793098698617078
pg,101,39321,38912,38,1.923969374623234
pg,101,52428,52224,51,1.9475507958611522
pg,101,65536,65536,64,1.9533986809481003
pg,101,78643,77824,76,1.955597932091177
pg,101,91750,91136,89,1.9569644450867751
pg,101,104857,104448,102,1.9578890558172894
pg,101,117964,117760,115,1.9585681059721907
pg,101,131072,131072,128,1.9591033520196874
pg,101,144179,143360,140,1.959508451730665
pg,101,157286,156672,153,1.9598718097133485
pg,101,170393,169984,166,1.9601725077911007
pg,101,183500,183296,179,1.9604270970350346
pg,101,196608,196608,192,1.9606406698802241
pg,101,209715,208896,204,1.9608132298085525
pg,101,222822,222208,217,1.9609766578537429
pg,101,235929,235520,230,1.9611144247627705
pg,101,249036,248832,243,1.9612352001985336
pg,101,262144,262144,256,1.9613420462967923
pg,102,0,0,0,0.3837600000000004
pg,102,13107,12288,12,1.1189489040528775
pg,102,26214,25600,25,1.7692027473984244
pg,102,39321,38912,38,1.922850115968441
pg,102,52428,52224,51,1.9473194310248423
pg,102,65536,65536,64,1.9533104685780516
pg,102,78643,77824,76,1.9555567388605621
