experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,return_check_gain,return_check_mode,return_check_standard_error,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,SA,mc_learned_baseline,False,46,15,56760,3840,3840,15360,30720,3000,28380,113520,65536,0.6672656250000001,0.7863,0.7461512532082979,0.01887537383939375,0.00023732046857649863,public_state_tabular_independent_mc,0,0.45370543130624125,0.7170167000731453,True,accepted_empirical,0.1,1,3.5301419076959616e-09,-0.05743194545248714,100,5.0,0.05523641160850281,empirical,0.025195312500000004,empirical,0.007932187515612095,0.27643405818643485,0.11174072002088614,0.019709496831007423,0.000692788261870593,0.048975794773742955,0.05457807186417948
T-L,SA,mc_learned_baseline,False,46,16,60544,4096,4096,16384,32768,3200,30272,121088,65536,0.73078125,0.8976000000000001,0.7646986753146836,0.018547422106385714,0.0002454341923338369,public_state_tabular_independent_mc,0,0.44260504874861184,0.7631236000452191,True,accepted_empirical,0.1,1,2.970913709772869e-09,-0.0570651477102323,100,5.0,0.034264495541268564,empirical,0.012773437499999998,empirical,0.005918580075197399,0.22676284382446016,0.09507211681567702,-0.0004292282411575421,4.0125748348747406e-06,0.05100130484085669,0.051328515946685
T-L,SA,mc_learned_baseline,False,46,17,64328,4352,4352,17408,34816,3400,32164,128656,65536,0.7490625000000002,0.7622999999999999,0.7820462454545709,0.017347570139887303,0.00023499958406827641,public_state_tabular_independent_mc,0,0.4314449081188177,0.8096972999628633,True,accepted_empirical,0.1,1,3.4439013213740725e-09,-0.0523362733537954,100,5.0,0.04287849250000946,empirical,0.018515625,empirical,0.00696515997906519,0.2236577802900557,0.08793208034595702,0.025031089748260293,0.0003962106444214718,0.04883305039353335,0.04696179514071859
T-L,DA,mc_learned_baseline,False,46,1,2760,256,256,0,2048,200,1380,5520,65536,0.19148437499999996,0.3054,0.4093360936298753,0.09032209362987526,0.00518971987112492,public_state_tabular_independent_mc,0,0.5856048417685715,0.014596100081689656,True,accepted_empirical,0.1,1,,,,,,,0.07564453125000001,empirical,0.022146793757488407,0.4074925527356591,0.1717049778337192,0.012895825385180526,,,
T-L,DA,mc_learned_baseline,False,46,2,5520,512,512,0,4096,400,2760,11040,65536,0.37124999999999997,0.48239999999999994,0.495555949332291,0.08621985570241575,0.004522903489666105,public_state_tabular_independent_mc,0,0.5405994959567378,0.028565000044181943,True,accepted_empirical,0.1,1,,,,,,,0.0828515625,empirical,0.01749679309958497,0.41081471644796475,0.17849669964142809,-0.025517041725904743,,,
T-L,DA,mc_learned_baseline,False,46,3,8280,768,768,0,6144,600,4140,16560,65536,0.563203125,0.4827,0.5752967111956182,0.07974076186332718,0.0038960606521914482,public_state_tabular_independent_mc,0,0.4929977127725623,0.042180699994787574,True,accepted_empirical,0.1,1,,,,,,,0.102421875,empirical,0.01713556765497107,0.36570464257410035,0.1504718609764054,0.008388900041656044,,,
T-L,DA,mc_learned_baseline,False,46,4,11040,1024,1024,0,8192,800,5520,22080,65536,0.6182812500000001,0.6791999999999999,0.6471555055940343,0.07185879439841614,0.0033241184182803097,public_state_tabular_independent_mc,0,0.4449103207164862,0.05342370003927499,True,accepted_empirical,0.1,1,,,,,,,0.08958984375000001,empirical,0.01540133630244083,0.3612400921182264,0.14476720016857803,0.008749452431213611,,,
T-L,DA,mc_learned_baseline,False,46,5,13800,1280,1280,0,10240,1000,6900,27600,65536,0.698203125,0.8136,0.7105716864499989,0.06341618085596457,0.002814275164695248,public_state_tabular_independent_mc,0,0.3979564548069147,0.07096570008434355,True,accepted_empirical,0.1,1,,,,,,,0.05572265625,empirical,0.012094437869675989,0.2717031912543878,0.12611356136636875,-0.0022461472661805537,,,
T-L,DA,mc_learned_baseline,False,46,6,16560,1536,1536,0,12288,1200,8280,33120,65536,0.7577343750000002,0.7697999999999999,0.7656176947106079,0.055046008260609014,0.0023679584404477485,public_state_tabular_independent_mc,0,0.35328147511512265,0.0840771000366658,True,accepted_empirical,0.1,1,,,,,,,0.0866015625,empirical,0.014761834202318786,0.2531582330628057,0.12149667707052916,-0.0037253595268160744,,,
T-L,DA,mc_learned_baseline,False,46,7,19320,1792,1792,0,14336,1400,9660,38640,65536,0.7971093750000002,0.8525999999999999,0.8127839525044578,0.047166257793849864,0.0019827222194431188,public_state_tabular_independent_mc,0,0.31162065266662226,0.1006508000427857,True,accepted_empirical,0.1,1,,,,,,,0.035390625,empirical,0.00892835289376027,0.22479316015216394,0.09306126069084515,0.00014971878819114437,,,
