condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
no_return_check,41,26214,24576,12,1.8186762013858326
no_return_check,41,32768,32768,16,1.9580229982766637
no_return_check,41,39321,38912,19,1.9626655973806724
no_return_check,41,45875,45056,22,1.9626655991326947
no_return_check,41,52428,51200,25,1.9626655994854105
no_return_check,41,58982,57344,28,1.962665599635465
no_return_check,41,65536,65536,32,1.9626655997379134
no_return_check,41,72089,71680,35,1.962665599782968
no_return_check,41,78643,77824,38,1.9626655998140519
no_return_check,41,85196,83968,41,1.9626655998387466
no_return_check,41,91750,90112,44,1.9626655998555464
no_return_check,41,98304,98304,48,1.9626655998746287
no_return_check,41,104857,104448,51,1.9626655998860598
no_return_check,41,111411,110592,54,1.9626655998953904
no_return_check,41,117964,116736,57,1.9626655999032026
no_return_check,41,124518,122880,60,1.9626655999097562
no_return_check,41,131072,131072,64,1.9626655999175984
no_return_check,42,0,0,0,0.38375999999999993
no_return_check,42,6553,6144,3,0.7690476790978481
no_return_check,42,13107,12288,6,1.2395679214136248
no_return_check,42,19660,18432,9,1.6026254077299122
no_return_check,42,26214,24576,12,1.8299456131381753
no_return_check,42,32768,32768,16,1.958080378677438
no_return_check,42,39321,38912,19,1.9626655974772476
no_return_check,42,45875,45056,22,1.9626655991955588
no_return_check,42,52428,51200,25,1.9626655995149465
no_return_check,42,58982,57344,28,1.9626655996483686
no_return_check,42,65536,65536,32,1.9626655997421323
no_return_check,42,72089,71680,35,1.9626655997845663
no_return_check,42,78643,77824,38,1.9626655998163998
no_return_check,42,85196,83968,41,1.96266559983899
no_return_check,42,91750,90112,44,1.9626655998575473
no_return_check,42,98304,98304,48,1.9626655998764846
no_return_check,42,104857,104448,51,1.9626655998879052
no_return_check,42,111411,110592,54,1.9626655998975844
no_return_check,42,117964,116736,57,1.9626655999053455
no_return_check,42,124518,122880,60,1.9626655999121096
no_return_check,42,131072,131072,64,1.9626655999196319
fit_quarter,40,0,0,0,0.38376000000000016
fit_quarter,40,6553,4096,1,0.5053245061638489
fit_quarter,40,13107,12288,3,0.7797634357293984
fit_quarter,40,19660,16384,4,0.9218521057241783
fit_quarter,40,26214,24576,6,1.221289622831313
fit_quarter,40,32768,32768,8,1.4866596490165902
fit_quarter,40,39321,36864,9,1.5934269105047265
