round,source_steps,accepted,candidates,direction_pass,direction_score,train_J,critic_mse,train_value_target,explained_variance,return_difference,fit_kl_before,fit_kl_after,fit_kl_p95,fit_kl_max,target_below_floor,policy_step_kl,policy_entropy,update_seconds,method,seed,source_steps_total,train_discounted_return
50,164800,True,1,,,-125.91789436340332,1393.262939453125,-125.91789245605469,-4.291534423828125e-06,,0.00010078258492285386,2.1058724087197334e-05,8.067602175287902e-05,0.0002547206822782755,0.0,7.580988312838599e-05,1.6041361093521118,51.129642200190574,AN,40,164800,-125.91789436340332
51,168000,True,1,,,-141.57285737991333,1571.1693115234375,-141.57286071777344,-7.152557373046875e-06,,0.0003127615200355649,6.80001758155413e-05,0.00020878342911601067,0.001069908495992422,0.0,0.0002286537637701258,1.604028344154358,53.00863019982353,AN,40,168000,-141.57285737991333
52,171200,True,1,,,-127.75101852416992,1372.254150390625,-127.75102233886719,-9.179115295410156e-06,,0.00019028130918741226,2.657286313478835e-05,9.87137173069641e-05,0.00046567339450120926,0.0,0.00015594667638652027,1.6025278568267822,51.83457349985838,AN,40,171200,-127.75101852416992
53,174400,True,1,,,-126.87933397293091,1328.57763671875,-126.87933349609375,-1.0967254638671875e-05,,0.0002091264323098585,5.292995774652809e-05,0.00017517727974336594,0.0004701400175690651,0.0,0.00015638417971786112,1.6014015674591064,51.93137410003692,AN,40,174400,-126.87933397293091
54,177600,True,1,,,-125.23155069351196,1715.780517578125,-125.23155212402344,-6.9141387939453125e-06,,0.00021088037465233356,4.3414147512521595e-05,0.00017573885270394385,0.000561858993023634,0.0,0.00016007834346964955,1.5995032787322998,51.95616619987413,AN,40,177600,-125.23155069351196
55,180800,True,1,,,-132.2661862373352,4173.599609375,-132.2661895751953,-5.125999450683594e-06,,0.00029088318115100265,5.4889209422981367e-05,0.00018627669487614185,0.0004922561347484589,0.0,0.00021229863341432065,1.5983816385269165,50.59166399994865,AN,40,180800,-132.2661862373352
56,184000,True,1,,,-131.06675052642822,3306.80712890625,-131.06674194335938,-1.2040138244628906e-05,,0.00013394236157182604,2.23351798922522e-05,9.481773304287344e-05,0.0003727218136191368,0.0,0.00010459394252393395,1.5994845628738403,53.35531400004402,AN,40,184000,-131.06675052642822
57,187200,True,1,,,-134.9587345123291,2752.27978515625,-134.958740234375,-1.1563301086425781e-05,,0.00025786535115912557,3.767017551581375e-05,0.00012259230425115675,0.0003089217934757471,0.0,0.00021213677246123552,1.6002548933029175,50.490747100207955,AN,40,187200,-134.9587345123291
58,190400,True,1,,,-126.55161333084106,1111.8468017578125,-126.5516128540039,-1.3947486877441406e-05,,0.00010006681986851618,2.465870784362778e-05,9.910405788104981e-05,0.00032404903322458267,0.0,7.049498526612297e-05,1.601537823677063,55.6344258999452,AN,40,190400,-126.55161333084106
59,193600,True,1,,,-138.40766668319702,1270.250244140625,-138.4076690673828,-5.364418029785156e-06,,0.00011467960575828329,3.500613456708379e-05,0.0001715229154797271,0.0005993209779262543,0.0,7.102751260390505e-05,1.6005947589874268,51.09632879961282,AN,40,193600,-138.40766668319702
60,196800,True,1,,,-130.61730241775513,898.0574340820312,-130.6173095703125,-1.049041748046875e-05,,0.00027912057703360915,4.495805114856921e-05,0.00016763196617830545,0.0005847681313753128,0.0,0.0002190921950386837,1.5992580652236938,53.50063489982858,AN,40,196800,-130.61730241775513
61,201600,True,1,,,-130.29110288619995,972.707275390625,-130.2910919189453,-7.867813110351562e-06,,0.0001139494706876576,2.1982830730848946e-05,0.00010155826021218672,0.00032987212762236595,0.0,9.251724259229377e-05,1.598930835723877,51.97569900006056,AN,40,201600,-130.29110288619995
62,204800,True,1,,,-128.446147441864,1609.7242431640625,-128.44615173339844,-1.1801719665527344e-05,,0.00023568198957946151,7.828432717360556e-05,0.00025744838058017194,0.0008540484122931957,0.0,0.0001592464977875352,1.5988855361938477,53.50317719997838,AN,40,204800,-128.446147441864
