round,source_steps,author_stats,critic_mse,explained_variance,train_value_target,ppo_kl,policy_entropy,clip_fraction,updates,accepted,candidates,direction_pass,direction_score,train_J,return_difference,fit_kl_before,fit_kl_after,fit_kl_p95,fit_kl_max,target_below_floor,update_seconds,method,seed,source_steps_total,train_discounted_return
43,142400,"{""value_loss"": 0.006759771332144737, ""policy_loss"": -0.019350515205587726, ""dist_entropy"": 1.3805597752332688, ""actor_grad_norm"": 0.377807080745697, ""critic_grad_norm"": 0.029338618740439415, ""ratio"": 0.9987114071846008}",10.202220916748047,0.9800511826345145,-87.76979064941406,0.016071608290076256,1.382885456085205,0.20265623927116394,40,True,0,,,-82.67378854751587,,,,,,,53.420767799951136,MAPPO-E,40,142400,-82.67378854751587
44,145600,"{""value_loss"": 0.005469554278533906, ""policy_loss"": -0.016651807792368346, ""dist_entropy"": 1.3653053969144822, ""actor_grad_norm"": 0.5266167521476746, ""critic_grad_norm"": 0.014293148182332516, ""ratio"": 0.9989811182022095}",8.285892486572266,0.9845260791514533,-89.00140380859375,0.0151519775390625,1.366631031036377,0.19499999284744263,40,True,0,,,-86.95066833496094,,,,,,,51.986165599897504,MAPPO-E,40,145600,-86.95066833496094
45,148800,"{""value_loss"": 0.005339727021055296, ""policy_loss"": -0.017129493050379096, ""dist_entropy"": 1.369016569852829, ""actor_grad_norm"": 0.5132424235343933, ""critic_grad_norm"": 0.03805173933506012, ""ratio"": 0.9982990622520447}",7.46835470199585,0.9865391885393013,-88.72203063964844,0.015544254332780838,1.3650219440460205,0.19234374165534973,40,True,0,,,-95.63861989974976,,,,,,,54.698867300059646,MAPPO-E,40,148800,-95.63861989974976
46,152000,"{""value_loss"": 0.0037763711356092245, ""policy_loss"": -0.01716012129036244, ""dist_entropy"": 1.3508243322372437, ""actor_grad_norm"": 0.4563026428222656, ""critic_grad_norm"": 0.02624921314418316, ""ratio"": 0.9977976679801941}",5.80369758605957,0.9902345804916861,-89.11736297607422,0.01507427915930748,1.349434494972229,0.19179686903953552,40,True,0,,,-85.01368880271912,,,,,,,53.25714260013774,MAPPO-E,40,152000,-85.01368880271912
47,155200,"{""value_loss"": 0.004060000414028764, ""policy_loss"": -0.016363910424843198, ""dist_entropy"": 1.3572044610977172, ""actor_grad_norm"": 0.4335620105266571, ""critic_grad_norm"": 0.015497307293117046, ""ratio"": 0.9992966651916504}",6.019914150238037,0.9892033944713386,-84.96701049804688,0.014405452646315098,1.3514400720596313,0.18515624105930328,40,True,0,,,-82.79424953460693,,,,,,,53.347560400143266,MAPPO-E,40,155200,-82.79424953460693
48,158400,"{""value_loss"": 0.006330504850484431, ""policy_loss"": -0.01912415213737404, ""dist_entropy"": 1.3572666347026825, ""actor_grad_norm"": 0.5837643146514893, ""critic_grad_norm"": 0.027214376255869865, ""ratio"": 0.9984439015388489}",8.816222190856934,0.984138423221394,-87.09969329833984,0.015106716193258762,1.3573485612869263,0.19632811844348907,40,True,0,,,-89.93330764770508,,,,,,,52.85102039994672,MAPPO-E,40,158400,-89.93330764770508
49,161513,"{""value_loss"": 0.00995816095964983, ""policy_loss"": -0.016077377726469423, ""dist_entropy"": 1.3822472542524338, ""actor_grad_norm"": 0.5280451774597168, ""critic_grad_norm"": 0.03956645354628563, ""ratio"": 1.000737190246582}",14.495882987976074,0.9744252712190429,-87.27366638183594,0.014301770366728306,1.3814928531646729,0.18117570877075195,40,True,0,,,-90.93267464637756,,,,,,,53.205570300109684,MAPPO-E,40,161513,-90.93267464637756
50,164713,"{""value_loss"": 0.0034482134971767662, ""policy_loss"": -0.018823836187948473, ""dist_entropy"": 1.344937914609909, ""actor_grad_norm"": 0.6593031883239746, ""critic_grad_norm"": 0.016355380415916443, ""ratio"": 0.9978829622268677}",5.300456523895264,0.9909948562853962,-87.55744934082031,0.016287820413708687,1.3396267890930176,0.19890624284744263,40,True,0,,,-87.5838713645935,,,,,,,53.09655090002343,MAPPO-E,40,164713,-87.5838713645935
51,167913,"{""value_loss"": 0.004420462489360943, ""policy_loss"": -0.01745646256549662, ""dist_entropy"": 1.3629800468683242, ""actor_grad_norm"": 0.6106264591217041, ""critic_grad_norm"": 0.02124899812042713, ""ratio"": 0.9982685446739197}",6.545656681060791,0.9883266782455703,-84.87440490722656,0.018682880327105522,1.357932209968567,0.22273437678813934,40,True,0,,,-85.38451623916626,,,,,,,53.076839700341225,MAPPO-E,40,167913,-85.38451623916626
52,171113,"{""value_loss"": 0.042783279251307246, ""policy_loss"": -0.01903876337019028, ""dist_entropy"": 1.3687273651361465, ""actor_grad_norm"": 0.3378879129886627, ""critic_grad_norm"": 0.06545174866914749, ""ratio"": 1.004495620727539}",53.39937973022461,0.9214325294648545,-87.62080383300781,0.015381402336061,1.3605194091796875,0.19164061546325684,40,True,0,,,-98.04294729232788,,,,,,,52.857011599931866,MAPPO-E,40,171113,-98.04294729232788
