method,seed,requested_kl,variant,check_episodes,repeats,candidate_p_0,candidate_p_1,actual_kl,exact_return_gain,return_class,direction_gate_applicable,return_accept_rate,return_false_accept_rate,return_false_reject_rate,all_zero_pair_rate,return_check_steps,direction_check_steps,exact_direction_score,direction_accept_rate,direction_false_accept_rate,direction_false_reject_rate,reject_positive_return_rate
AN,1016,0.0003,near_zero,128,100,0.3000002873160345,0.7000014366241023,3.0270455266981848e-12,2.537666396795757e-06,positive,True,1.0,,0.0,1.0,256,128,1.2804039771306052e-05,0.99,,0.010000000000000009,0.010000000000000009
AN,1016,0.0003,near_zero,512,100,0.3000002873160345,0.7000014366241023,3.0270455266981848e-12,2.537666396795757e-06,positive,True,1.0,,0.0,1.0,1024,512,1.2804039771306052e-05,1.0,,0.0,0.0
SA,1016,0.0003,original,8,100,0.30284744167752864,0.7141712743805214,0.00030000000000001374,0.02652208173615611,positive,True,0.87,,0.13,0.71,16,8,0.0664330176817456,0.65,,0.35,0.35
SA,1016,0.0003,original,32,100,0.30284744167752864,0.7141712743805214,0.00030000000000001374,0.02652208173615611,positive,True,0.74,,0.26,0.24,64,32,0.0664330176817456,0.76,,0.24,0.24
SA,1016,0.0003,original,128,100,0.30284744167752864,0.7141712743805214,0.00030000000000001374,0.02652208173615611,positive,True,0.83,,0.17000000000000004,0.0,256,128,0.0664330176817456,0.92,,0.07999999999999996,0.07999999999999996
SA,1016,0.0003,original,512,100,0.30284744167752864,0.7141712743805214,0.00030000000000001374,0.02652208173615611,positive,True,0.9,,0.09999999999999998,0.0,1024,512,0.0664330176817456,0.98,,0.020000000000000018,0.020000000000000018
SA,1016,0.0003,reversed,8,100,0.2971679186775033,0.6854355899019747,0.00030535420816369275,-0.024151922831152306,negative,True,0.79,0.79,,0.74,16,8,-0.19191269822641843,0.17,0.17,,
SA,1016,0.0003,reversed,32,100,0.2971679186775033,0.6854355899019747,0.00030535420816369275,-0.024151922831152306,negative,True,0.58,0.58,,0.3,64,32,-0.19191269822641843,0.05,0.05,,
SA,1016,0.0003,reversed,128,100,0.2971679186775033,0.6854355899019747,0.00030535420816369275,-0.024151922831152306,negative,True,0.29,0.29,,0.0,256,128,-0.19191269822641843,0.0,0.0,,
SA,1016,0.0003,reversed,512,100,0.2971679186775033,0.6854355899019747,0.00030535420816369275,-0.024151922831152306,negative,True,0.11,0.11,,0.0,1024,512,-0.19191269822641843,0.0,0.0,,
SA,1016,0.0003,near_zero,8,100,0.30000028397847706,0.7000014370738826,3.0270282933893564e-12,2.537802772928366e-06,positive,True,1.0,,0.0,1.0,16,8,1.2916658397005479e-05,0.76,,0.24,0.24
SA,1016,0.0003,near_zero,32,100,0.30000028397847706,0.7000014370738826,3.0270282933893564e-12,2.537802772928366e-06,positive,True,1.0,,0.0,1.0,64,32,1.2916658397005479e-05,0.88,,0.12,0.12
SA,1016,0.0003,near_zero,128,100,0.30000028397847706,0.7000014370738826,3.0270282933893564e-12,2.537802772928366e-06,positive,True,1.0,,0.0,1.0,256,128,1.2916658397005479e-05,0.99,,0.010000000000000009,0.010000000000000009
SA,1016,0.0003,near_zero,512,100,0.30000028397847706,0.7000014370738826,3.0270282933893564e-12,2.537802772928366e-06,positive,True,1.0,,0.0,1.0,1024,512,1.2916658397005479e-05,1.0,,0.0,0.0
DA,1016,0.0003,original,8,100,0.31288120549611875,0.7099904290671443,0.0003000000000000062,0.02172464975645977,positive,False,0.87,,0.13,0.64,16,0,,,,,
DA,1016,0.0003,original,32,100,0.31288120549611875,0.7099904290671443,0.0003000000000000062,0.02172464975645977,positive,False,0.79,,0.20999999999999996,0.22,64,0,,,,,
DA,1016,0.0003,original,128,100,0.31288120549611875,0.7099904290671443,0.0003000000000000062,0.02172464975645977,positive,False,0.77,,0.22999999999999998,0.01,256,0,,,,,
DA,1016,0.0003,original,512,100,0.31288120549611875,0.7099904290671443,0.0003000000000000062,0.02172464975645977,positive,False,0.87,,0.13,0.0,1024,0,,,,,
DA,1016,0.0003,reversed,8,100,0.287427274245017,0.6898157712860552,0.00029936866678886007,-0.01802684973841079,negative,False,0.78,0.78,,0.71,16,0,,,,,
DA,1016,0.0003,reversed,32,100,0.287427274245017,0.6898157712860552,0.00029936866678886007,-0.01802684973841079,negative,False,0.51,0.51,,0.26,64,0,,,,,
DA,1016,0.0003,reversed,128,100,0.287427274245017,0.6898157712860552,0.00029936866678886007,-0.01802684973841079,negative,False,0.32,0.32,,0.0,256,0,,,,,
DA,1016,0.0003,reversed,512,100,0.287427274245017,0.6898157712860552,0.00029936866678886007,-0.01802684973841079,negative,False,0.19,0.19,,0.0,1024,0,,,,,
DA,1016,0.0003,near_zero,8,100,0.3000012729007656,0.7000010088328087,2.997008922102896e-12,1.987679912773821e-06,positive,False,1.0,,0.0,1.0,16,0,,,,,
DA,1016,0.0003,near_zero,32,100,0.3000012729007656,0.7000010088328087,2.997008922102896e-12,1.987679912773821e-06,positive,False,1.0,,0.0,1.0,64,0,,,,,
DA,1016,0.0003,near_zero,128,100,0.3000012729007656,0.7000010088328087,2.997008922102896e-12,1.987679912773821e-06,positive,False,1.0,,0.0,1.0,256,0,,,,,
