experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,AN,mc_learned_baseline,False,46,146,253456,37376,37376,149504,0,29200,126728,506912,262144,1.0218750000000003,1.0290000000000001,1.0288013196744126,0.0007078683300372202,1.2552339618663613e-05,public_state_tabular_independent_mc,0,0.08083234536418643,6.003566400031559,True,accepted_return_check_disabled,0.1,1,2.97373621226251e-11,-0.002517592967277252,100,5.0,0.0005323745313789277,empirical,0.003834228515625002,5.612958587216559e-06,0.02894736842105272,0.0006286298502900423,0.0025318547342911804,0.0012481315679858992
T-L,AN,mc_learned_baseline,False,46,147,255192,37632,37632,150528,0,29400,127596,510384,262144,1.0265625000000003,1.026,1.0293955121518021,0.0005941924773895657,9.085380549841415e-06,public_state_tabular_independent_mc,0,0.07896080375356128,6.042111999937333,True,accepted_return_check_disabled,0.1,1,1.3966286832021965e-10,-0.0018656270699705575,100,5.0,0.0019261598610463664,empirical,0.0032519531250000027,1.8585204026188753e-06,0.05000893016610075,0.0005009572223761051,0.0018500254699253503,0.0013338446560875465
T-L,AN,mc_learned_baseline,False,46,148,256928,37888,37888,151552,0,29600,128464,513856,262144,1.0242187500000002,1.0290000000000001,1.0300505872178691,0.0006550750660669902,1.1319215695123342e-05,public_state_tabular_independent_mc,0,0.0768831047306252,6.07990150002297,True,accepted_return_check_disabled,0.1,1,1.57124757908059e-10,-0.002252364481090996,100,5.0,0.0015195305415116312,empirical,0.0036134211600768575,0.0001316579524201623,0.037808424864466894,0.0005811895821641437,0.0022727907161084475,0.0012179837989305035
T-L,AN,mc_learned_baseline,False,46,149,258664,38144,38144,152576,0,29800,129332,517328,262144,1.0242187500000002,1.0410000000000001,1.0307045667072143,0.0006539794893452022,1.1628243853553074e-05,public_state_tabular_independent_mc,0,0.07479121495675584,6.116413399926387,True,accepted_return_check_disabled,0.1,1,2.513046335239525e-12,-0.0023486251360532386,100,5.0,0.0012298126215606765,empirical,0.003590713500976562,8.432839495939356e-05,0.03445478613172015,0.000612556654784266,0.0023538750131594584,0.001146592294748313
T-L,AN,mc_learned_baseline,False,46,150,260400,38400,38400,153600,0,30000,130200,520800,262144,1.0312500000000004,1.0320000000000003,1.0311980979726363,0.0004935312654219537,6.82118128983425e-06,public_state_tabular_independent_mc,0,0.07319898090274468,6.156012199935503,True,accepted_return_check_disabled,0.1,1,4.147866849787397e-11,-0.0013599827561892892,100,5.0,0.001684390443104132,empirical,0.0026477050781250015,8.747576729497392e-06,0.08283898305084825,0.00046402184924877054,0.0013700455634621125,0.0012547229445370454
T-L,AN,mc_learned_baseline,False,46,151,262136,38656,38656,154624,0,30200,131068,524272,262144,1.0197656250000002,1.0290000000000001,1.0311980979726363,0.0,0.0,public_state_tabular_independent_mc,0,0.07319898090274468,6.1820342999417335,False,direction_rejected,0.0,0,,-0.025201719523290873,100,5.0,-0.01700628155484684,empirical,0.014751440429687505,0.005359251939059277,0.014867662063227871,0.013227334056621624,0.019852826777952005,-0.011539145005498668
T-L,SA,mc_learned_baseline,False,46,1,1736,256,256,1024,0,200,868,3472,262144,0.19148437499999996,0.3302999999999999,0.350147253140022,0.031133253140021966,0.00038166369479999507,public_state_tabular_independent_mc,0,0.6164913292017307,0.03940770006738603,True,accepted_return_check_disabled,0.1,1,1.3931509485211113e-09,-0.08312775598679459,100,5.0,0.07813501987555137,empirical,0.4074925527356591,0.1717049778337192,0.012895825385180526,0.0009753430557388043,0.07706559884988562,0.08777221768320859
T-L,SA,mc_learned_baseline,False,46,2,3472,512,512,2048,0,400,1736,6944,262144,0.40546875,0.3735,0.38718687251372674,0.03703961937370476,0.0005372682551215114,public_state_tabular_independent_mc,0,0.6057065726405197,0.07766529999207705,True,accepted_return_check_disabled,0.1,1,7.841155495957408e-09,-0.11426123255062928,100,5.0,0.0846196681795579,empirical,0.4213058542831484,0.1806994326210905,-0.0020406876826286613,0.0012894950379853452,0.10828941390339952,0.0880558267160842
T-L,SA,mc_learned_baseline,False,46,3,5208,768,768,3072,0,600,2604,10416,262144,0.313359375,0.4295999999999999,0.41917904507678094,0.0319921725630542,0.0004034428016992872,public_state_tabular_independent_mc,0,0.5949637784072194,0.1155243000248447,True,accepted_return_check_disabled,0.1,1,4.97947699229936e-09,-0.08198005579225338,100,5.0,0.08646096557542694,empirical,0.4506083195786335,0.19526222505024246,0.040356541774813515,0.0009640888286304317,0.08143275878840164,0.08852572428527641
T-L,SA,mc_learned_baseline,False,46,4,6944,1024,1024,4096,0,800,3472,13888,262144,0.41296874999999994,0.5103,0.45130982238531375,0.03213077730853281,0.000408936661331313,public_state_tabular_independent_mc,0,0.5842399363907569,0.15874530002474785,True,accepted_return_check_disabled,0.1,1,7.139238412732274e-09,-0.07895687658790705,100,5.0,0.08215354680212378,empirical,0.40120718546411077,0.16590181351611505,0.011160804837458516,0.00040033716492172413,0.0831796296432662,0.08863635617573457
T-L,SA,mc_learned_baseline,False,46,5,8680,1280,1280,5120,0,1000,4340,17360,262144,0.43499999999999994,0.4451999999999999,0.4836896004255231,0.03237977804020936,0.00042307974615664724,public_state_tabular_independent_mc,0,0.5730383574995447,0.19813869998324662,True,accepted_return_check_disabled,0.1,1,2.8882041772153767e-09,-0.08576578133616772,100,5.0,0.0898890122087431,empirical,0.394969147329967,0.1686420373259569,-0.00038055102556211473,0.0005866034707966434,0.08591394664191897,0.08739333584676666
T-L,SA,mc_learned_baseline,False,46,6,10416,1536,1536,6144,0,1200,5208,20832,262144,0.489375,0.5097,0.5164233897431959,0.03273378931767279,0.0004515374356369997,public_state_tabular_independent_mc,0,0.5596080639006922,0.23679080000147223,True,accepted_return_check_disabled,0.1,1,3.594246073485969e-09,-0.08821421451125228,100,5.0,0.0747206129581908,empirical,0.37956132445230495,0.15492081581176703,0.036600700489976656,0.002571456215470878,0.09244500587549673,0.08378822202052935
T-L,SA,mc_learned_baseline,False,46,7,12152,1792,1792,7168,0,1400,6076,24304,262144,0.5294531250000001,0.40739999999999993,0.54751313746206,0.03108974771886408,0.00041172236091434496,public_state_tabular_independent_mc,0,0.5476430276289219,0.2745343999704346,True,accepted_return_check_disabled,0.1,1,3.3374527410454997e-09,-0.079427095321941,100,5.0,0.0913401975808426,empirical,0.36124715790866513,0.152263819722949,0.003971226136213701,0.0008071960527848622,0.08412344558071344,0.08349477381423698
T-L,SA,mc_learned_baseline,False,46,8,13888,2048,2048,8192,0,1600,6944,27776,262144,0.5090625,0.6081,0.5765277592128528,0.029014621750792835,0.00036845900323974595,public_state_tabular_independent_mc,0,0.5356316730328364,0.3189635999733582,True,accepted_return_check_disabled,0.1,1,8.754685770209251e-10,-0.07928597731260037,100,5.0,0.07618734722332932,empirical,0.3730788201220817,0.15896129167371695,0.015322841466685166,0.00028223571692435906,0.0751399431908885,0.08134403461960339
