target,seed,n_agents,type0_probability,rho,source_dataset_sha256,source_error,target_error,direction_shift,coverage_kappa,neighbor_variation,shift_bound,transport_bound,mechanism_transport_bound,bound_holds,team_return,return_per_agent
agents_6,1010,6,0.6,0.7,7e29f39e948ce14a78a2affe4d242aeeec0d409312b7b96eaeae27db0f240217,1.4575883639278824e-05,1.4575883639278824e-05,0.0,1.0,0.0,0.0,1.4575883639278824e-05,1.4575883639278824e-05,True,1.4385600000000003,0.23976000000000006
agents_8,1010,8,0.6,0.7,7e29f39e948ce14a78a2affe4d242aeeec0d409312b7b96eaeae27db0f240217,1.4575883639278824e-05,1.4575883639278824e-05,0.0,1.0,0.0,0.0,1.4575883639278824e-05,1.4575883639278824e-05,True,1.9180800000000002,0.23976000000000003
composition_0.3,1010,4,0.3,0.7,7e29f39e948ce14a78a2affe4d242aeeec0d409312b7b96eaeae27db0f240217,1.4575883639278824e-05,0.0027916177993996395,0.002540160000000004,1.7499999999999998,0.41999999999999993,0.17639999999999995,0.003074760652433384,0.180667948263574,True,1.04616,0.26154
composition_0.9,1010,4,0.9,0.7,7e29f39e948ce14a78a2affe4d242aeeec0d409312b7b96eaeae27db0f240217,1.4575883639278824e-05,0.0021119284215832318,0.002540160000000004,1.5,0.42000000000000004,0.17640000000000003,0.003033352224254182,0.18034960048208612,True,0.9626400000000004,0.2406600000000001
strength_0.0,1010,4,0.6,0.0,7e29f39e948ce14a78a2affe4d242aeeec0d409312b7b96eaeae27db0f240217,1.4575883639278824e-05,0.06677951116855604,0.06547968,1.0,0.7,0.48999999999999994,0.06744814860988317,0.4953595484685068,True,0.5760000000000001,0.14400000000000002
strength_0.35,1010,4,0.6,0.35,7e29f39e948ce14a78a2affe4d242aeeec0d409312b7b96eaeae27db0f240217,1.4575883639278824e-05,0.01702712352609766,0.01636992000000001,1.0,0.35,0.12249999999999998,0.01736144224676124,0.12518706217607306,True,0.7675200000000001,0.19188000000000002
strength_1.4,1010,4,0.6,1.4,7e29f39e948ce14a78a2affe4d242aeeec0d409312b7b96eaeae27db0f240217,1.4575883639278824e-05,0.06420900059872255,0.06547968000000001,1.0,0.7,0.48999999999999994,0.06744814860988317,0.4953595484685068,True,1.3420800000000002,0.33552000000000004
source,1011,4,0.6,0.7,511c7c762b4e746f18121427cbfc97aa49e0edee9aebea2a9fb86a1416c68d01,7.18370185531911e-05,7.18370185531911e-05,0.0,1.0,0.0,0.0,7.183701855319108e-05,7.183701855319108e-05,True,0.9590400000000001,0.23976000000000003
agents_2,1011,2,0.6,0.7,511c7c762b4e746f18121427cbfc97aa49e0edee9aebea2a9fb86a1416c68d01,7.18370185531911e-05,7.18370185531911e-05,0.0,1.0,0.0,0.0,7.183701855319108e-05,7.183701855319108e-05,True,0.47952000000000006,0.23976000000000003
agents_6,1011,6,0.6,0.7,511c7c762b4e746f18121427cbfc97aa49e0edee9aebea2a9fb86a1416c68d01,7.18370185531911e-05,7.18370185531911e-05,0.0,1.0,0.0,0.0,7.183701855319108e-05,7.183701855319108e-05,True,1.4385600000000003,0.23976000000000006
agents_8,1011,8,0.6,0.7,511c7c762b4e746f18121427cbfc97aa49e0edee9aebea2a9fb86a1416c68d01,7.18370185531911e-05,7.18370185531911e-05,0.0,1.0,0.0,0.0,7.183701855319108e-05,7.183701855319108e-05,True,1.9180800000000002,0.23976000000000003
composition_0.3,1011,4,0.3,0.7,511c7c762b4e746f18121427cbfc97aa49e0edee9aebea2a9fb86a1416c68d01,7.18370185531911e-05,0.003621299075869617,0.002540160000000004,1.7499999999999998,0.41999999999999993,0.17639999999999995,0.0037960706271501147,0.18594401348815157,True,1.04616,0.26154
composition_0.9,1011,4,0.9,0.7,511c7c762b4e746f18121427cbfc97aa49e0edee9aebea2a9fb86a1416c68d01,7.18370185531911e-05,0.0019507176168654776,0.002540160000000004,1.5,0.42000000000000004,0.17640000000000003,0.003694273557515828,0.18522740577521343,True,0.9626400000000004,0.2406600000000001
strength_0.0,1011,4,0.6,0.0,511c7c762b4e746f18121427cbfc97aa49e0edee9aebea2a9fb86a1416c68d01,7.18370185531911e-05,0.06523370223203284,0.06547968,1.0,0.7,0.48999999999999994,0.06988919611549756,0.5019377780416769,True,0.5760000000000001,0.14400000000000002
strength_0.35,1011,4,0.6,0.35,511c7c762b4e746f18121427cbfc97aa49e0edee9aebea2a9fb86a1416c68d01,7.18370185531911e-05,0.016282849625293017,0.01636992000000001,1.0,0.35,0.12249999999999998,0.018610596567025375,0.12850480753011514,True,0.7675200000000001,0.19188000000000002
strength_1.4,1011,4,0.6,1.4,511c7c762b4e746f18121427cbfc97aa49e0edee9aebea2a9fb86a1416c68d01,7.18370185531911e-05,0.06586933180507357,0.06547968000000001,1.0,0.7,0.48999999999999994,0.06988919611549756,0.5019377780416769,True,1.3420800000000002,0.33552000000000004
source,1012,4,0.6,0.7,1ae14453b0aa570ed8d99b98ab7e7f7af6948c8cf69b4a1843f7b1f6674ff1fc,0.0001795291711528016,0.0001795291711528016,0.0,1.0,0.0,0.0,0.00017952917115280156,0.00017952917115280156,True,0.9590400000000001,0.23976000000000003
agents_2,1012,2,0.6,0.7,1ae14453b0aa570ed8d99b98ab7e7f7af6948c8cf69b4a1843f7b1f6674ff1fc,0.0001795291711528016,0.0001795291711528016,0.0,1.0,0.0,0.0,0.00017952917115280156,0.00017952917115280156,True,0.47952000000000006,0.23976000000000003
agents_6,1012,6,0.6,0.7,1ae14453b0aa570ed8d99b98ab7e7f7af6948c8cf69b4a1843f7b1f6674ff1fc,0.0001795291711528016,0.0001795291711528016,0.0,1.0,0.0,0.0,0.00017952917115280156,0.00017952917115280156,True,1.4385600000000003,0.23976000000000006
agents_8,1012,8,0.6,0.7,1ae14453b0aa570ed8d99b98ab7e7f7af6948c8cf69b4a1843f7b1f6674ff1fc,0.0001795291711528016,0.0001795291711528016,0.0,1.0,0.0,0.0,0.00017952917115280156,0.00017952917115280156,True,1.9180800000000002,0.23976000000000003
composition_0.3,1012,4,0.3,0.7,1ae14453b0aa570ed8d99b98ab7e7f7af6948c8cf69b4a1843f7b1f6674ff1fc,0.0001795291711528016,0.004167795543811749,0.002540160000000004,1.7499999999999998,0.41999999999999993,0.17639999999999995,0.004641017256607388,0.19160318610860053,True,1.04616,0.26154
composition_0.9,1012,4,0.9,0.7,1ae14453b0aa570ed8d99b98ab7e7f7af6948c8cf69b4a1843f7b1f6674ff1fc,0.0001795291711528016,0.0027659478346570843,0.002540160000000004,1.5,0.42000000000000004,0.17640000000000003,0.0044635991301389955,0.19045383853514414,True,0.9626400000000004,0.2406600000000001
strength_0.0,1012,4,0.6,0.0,1ae14453b0aa570ed8d99b98ab7e7f7af6948c8cf69b4a1843f7b1f6674ff1fc,0.0001795291711528016,0.06045390909823012,0.06547968,1.0,0.7,0.48999999999999994,0.07251647179635558,0.5089379186398543,True,0.5760000000000001,0.14400000000000002
strength_0.35,1012,4,0.6,0.35,1ae14453b0aa570ed8d99b98ab7e7f7af6948c8cf69b4a1843f7b1f6674ff1fc,0.0001795291711528016,0.013946799134691467,0.01636992000000001,1.0,0.35,0.12249999999999998,0.019978080483754188,0.13205872390550355,True,0.7675200000000001,0.19188000000000002
strength_1.4,1012,4,0.6,1.4,1ae14453b0aa570ed8d99b98ab7e7f7af6948c8cf69b4a1843f7b1f6674ff1fc,0.0001795291711528016,0.07086450924407547,0.06547968000000001,1.0,0.7,0.48999999999999994,0.07251647179635558,0.5089379186398543,True,1.3420800000000002,0.33552000000000004
source,1013,4,0.6,0.7,b44b5b5245002b5def9beabb6113fe84bda6133a1bd3d6d0273887ae52e7ed50,2.1024907688046017e-05,2.1024907688046017e-05,0.0,1.0,0.0,0.0,2.1024907688046013e-05,2.1024907688046013e-05,True,0.9590400000000001,0.23976000000000003
agents_2,1013,2,0.6,0.7,b44b5b5245002b5def9beabb6113fe84bda6133a1bd3d6d0273887ae52e7ed50,2.1024907688046017e-05,2.1024907688046017e-05,0.0,1.0,0.0,0.0,2.1024907688046013e-05,2.1024907688046013e-05,True,0.47952000000000006,0.23976000000000003
agents_6,1013,6,0.6,0.7,b44b5b5245002b5def9beabb6113fe84bda6133a1bd3d6d0273887ae52e7ed50,2.1024907688046017e-05,2.1024907688046017e-05,0.0,1.0,0.0,0.0,2.1024907688046013e-05,2.1024907688046013e-05,True,1.4385600000000003,0.23976000000000006
agents_8,1013,8,0.6,0.7,b44b5b5245002b5def9beabb6113fe84bda6133a1bd3d6d0273887ae52e7ed50,2.1024907688046017e-05,2.1024907688046017e-05,0.0,1.0,0.0,0.0,2.1024907688046013e-05,2.1024907688046013e-05,True,1.9180800000000002,0.23976000000000003
composition_0.3,1013,4,0.3,0.7,b44b5b5245002b5def9beabb6113fe84bda6133a1bd3d6d0273887ae52e7ed50,2.1024907688046017e-05,0.0025142383087073694,0.002540160000000004,1.7499999999999998,0.41999999999999993,0.17639999999999995,0.0031883833935748927,0.18153204196446077,True,1.04616,0.26154
composition_0.9,1013,4,0.9,0.7,b44b5b5245002b5def9beabb6113fe84bda6133a1bd3d6d0273887ae52e7ed50,2.1024907688046017e-05,0.003068813689944154,0.002540160000000004,1.5,0.42000000000000004,0.17640000000000003,0.003137771364712932,0.1811488207213726,True,0.9626400000000004,0.2406600000000001
strength_0.0,1013,4,0.6,0.0,b44b5b5245002b5def9beabb6113fe84bda6133a1bd3d6d0273887ae52e7ed50,2.1024907688046017e-05,0.06329985481615366,0.06547968,1.0,0.7,0.48999999999999994,0.06784736570758462,0.4964404344653164,True,0.5760000000000001,0.14400000000000002
strength_0.35,1013,4,0.6,0.35,b44b5b5245002b5def9beabb6113fe84bda6133a1bd3d6d0273887ae52e7ed50,2.1024907688046017e-05,0.015290519861920857,0.01636992000000001,1.0,0.35,0.12249999999999998,0.017564275307636334,0.12573072968650223,True,0.7675200000000001,0.19188000000000002
strength_1.4,1013,4,0.6,1.4,b44b5b5245002b5def9beabb6113fe84bda6133a1bd3d6d0273887ae52e7ed50,2.1024907688046017e-05,0.06770155499922244,0.06547968000000001,1.0,0.7,0.48999999999999994,0.06784736570758462,0.4964404344653164,True,1.3420800000000002,0.33552000000000004
source,1014,4,0.6,0.7,37779b19048b97e6698fcf493f8c157acc12defb4a3fb2b105a9d5a4e61e931c,1.8420617351364846e-05,1.8420617351364846e-05,0.0,1.0,0.0,0.0,1.8420617351364846e-05,1.8420617351364846e-05,True,0.9590400000000001,0.23976000000000003
agents_2,1014,2,0.6,0.7,37779b19048b97e6698fcf493f8c157acc12defb4a3fb2b105a9d5a4e61e931c,1.8420617351364846e-05,1.8420617351364846e-05,0.0,1.0,0.0,0.0,1.8420617351364846e-05,1.8420617351364846e-05,True,0.47952000000000006,0.23976000000000003
agents_6,1014,6,0.6,0.7,37779b19048b97e6698fcf493f8c157acc12defb4a3fb2b105a9d5a4e61e931c,1.8420617351364846e-05,1.8420617351364846e-05,0.0,1.0,0.0,0.0,1.8420617351364846e-05,1.8420617351364846e-05,True,1.4385600000000003,0.23976000000000006
agents_8,1014,8,0.6,0.7,37779b19048b97e6698fcf493f8c157acc12defb4a3fb2b105a9d5a4e61e931c,1.8420617351364846e-05,1.8420617351364846e-05,0.0,1.0,0.0,0.0,1.8420617351364846e-05,1.8420617351364846e-05,True,1.9180800000000002,0.23976000000000003
