experiment,method,label,actor_class,sample_episodes,fit_steps,direction_method,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,realized_path_derivative,0.12095986295541442,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,forward_kl_training,0.00013500764124083574,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,forward_kl_validation,0.0001353179326566598,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,forward_kl_exact,0.0001345261060803446,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,old_new_kl,9.442234855221323e-05,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,direction_realization_residual,0.02733753299825349,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,seconds,0.0002615000121295452,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,learned_q_0,0.0028363028342749024,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,learned_q_1,0.3495068919309249,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,candidate_p_0,0.30633754276828823,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,candidate_p_1,0.7062619515572275,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,shared_offset,2048,1,,False,source_steps_total,2548.0,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,shared_offset,2048,1,,False,actual_return_gain,0.012670940116280727,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,shared_offset,2048,1,,False,realized_path_derivative,0.012095998651341599,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,shared_offset,2048,1,,False,old_new_kl,9.442254137234374e-05,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,shared_offset,2048,1,,False,candidate_p_0,0.30633754928005397,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,shared_offset,2048,1,,False,candidate_p_1,0.706261957914581,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,source_steps_total,2548.0,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,eta,0.1,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,ideal_return_gain,0.02624840661190414,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,actual_return_gain,0.009770556263462682,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,learned_direction_derivative,0.25388684134834383,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,projected_direction_derivative,0.1700202924340823,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,realized_path_derivative,0.0942147722753849,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,forward_kl_training,0.00015642890165433918,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,10,AN,False,forward_kl_validation,0.00015715127349857393,,1,,,training_seed_or_data_batch,True
