round,source_episodes,round_source_episodes,direction_passed,candidate_count,fit_kl,accepted,experiment,method,label,seed,source_steps_total
80,154532,3428,,3,4.314480144526477e-13,True,P-L,SA,mc_learned_baseline,44,154532
81,156936,2404,,2,9.7990999167935e-14,True,P-L,SA,mc_learned_baseline,44,156936
82,160364,3428,,3,1.0616545777884164e-12,False,P-L,SA,mc_learned_baseline,44,160364
83,163792,3428,,3,4.198607894066346e-13,False,P-L,SA,mc_learned_baseline,44,163792
84,167220,3428,,3,6.293595117986156e-13,False,P-L,SA,mc_learned_baseline,44,167220
85,170648,3428,,3,5.336630762516427e-13,True,P-L,SA,mc_learned_baseline,44,170648
86,174076,3428,,3,3.8040952931114673e-13,True,P-L,SA,mc_learned_baseline,44,174076
87,175456,1380,,1,1.1726333511177342e-13,True,P-L,SA,mc_learned_baseline,44,175456
88,176836,1380,,1,8.202875914135787e-11,True,P-L,SA,mc_learned_baseline,44,176836
89,180264,3428,,3,1.2707803216565049e-14,True,P-L,SA,mc_learned_baseline,44,180264
90,181644,1380,,1,1.2250481652673622e-17,True,P-L,SA,mc_learned_baseline,44,181644
91,185072,3428,,3,1.348330147038402e-13,False,P-L,SA,mc_learned_baseline,44,185072
92,188500,3428,,3,5.810249887191698e-14,False,P-L,SA,mc_learned_baseline,44,188500
93,190904,2404,,2,1.1729363813896233e-11,True,P-L,SA,mc_learned_baseline,44,190904
94,192284,1380,,1,2.239382033005979e-15,True,P-L,SA,mc_learned_baseline,44,192284
95,194688,2404,,2,3.5168433042844135e-14,True,P-L,SA,mc_learned_baseline,44,194688
96,198116,3428,,3,1.7331013299485846e-16,True,P-L,SA,mc_learned_baseline,44,198116
97,199496,1380,,1,1.846904624017834e-11,True,P-L,SA,mc_learned_baseline,44,199496
98,202924,3428,,3,1.1058041941555451e-16,True,P-L,SA,mc_learned_baseline,44,202924
99,206352,3428,,3,1.1031933099447114e-16,True,P-L,SA,mc_learned_baseline,44,206352
100,209780,3428,,3,1.0845220417591514e-16,True,P-L,SA,mc_learned_baseline,44,209780
101,211160,1380,,1,6.707926183442953e-16,True,P-L,SA,mc_learned_baseline,44,211160
102,214588,3428,,3,6.726418315340655e-17,False,P-L,SA,mc_learned_baseline,44,214588
103,215968,1380,,1,5.898657179130253e-17,True,P-L,SA,mc_learned_baseline,44,215968
104,219396,3428,,3,5.540676681326914e-13,False,P-L,SA,mc_learned_baseline,44,219396
105,222824,3428,,3,1.6825252089900636e-17,True,P-L,SA,mc_learned_baseline,44,222824
106,224204,1380,,1,2.952739219708232e-16,True,P-L,SA,mc_learned_baseline,44,224204
107,227632,3428,,3,5.37032535321315e-13,True,P-L,SA,mc_learned_baseline,44,227632
108,229012,1380,,1,4.610629403536214e-17,True,P-L,SA,mc_learned_baseline,44,229012
109,230392,1380,,1,2.2706564205644964e-17,True,P-L,SA,mc_learned_baseline,44,230392
110,231772,1380,,1,5.376086478857356e-17,True,P-L,SA,mc_learned_baseline,44,231772
111,233152,1380,,1,1.183310095998271e-16,True,P-L,SA,mc_learned_baseline,44,233152
112,236580,3428,,3,2.0346011644290097e-17,True,P-L,SA,mc_learned_baseline,44,236580
113,237960,1380,,1,1.0273276093431858e-16,True,P-L,SA,mc_learned_baseline,44,237960
114,239340,1380,,1,5.292561635822876e-17,True,P-L,SA,mc_learned_baseline,44,239340
115,241744,2404,,2,7.64556498792203e-17,True,P-L,SA,mc_learned_baseline,44,241744
116,243124,1380,,1,1.172859254194967e-11,True,P-L,SA,mc_learned_baseline,44,243124
117,244504,1380,,1,1.835749325764956e-17,True,P-L,SA,mc_learned_baseline,44,244504
118,245884,1380,,1,3.837934420784494e-12,True,P-L,SA,mc_learned_baseline,44,245884
119,247264,1380,,1,1.1038257594631092e-16,True,P-L,SA,mc_learned_baseline,44,247264
120,248644,1380,,1,1.0864359243021154e-16,True,P-L,SA,mc_learned_baseline,44,248644
121,252072,3428,,3,1.1068999485262563e-16,True,P-L,SA,mc_learned_baseline,44,252072
122,253452,1380,,1,1.1045810480983277e-16,True,P-L,SA,mc_learned_baseline,44,253452
123,255856,2404,,2,1.0919746241462562e-16,True,P-L,SA,mc_learned_baseline,44,255856
124,257236,1380,,1,1.1036802922230361e-16,True,P-L,SA,mc_learned_baseline,44,257236
125,258616,1380,,1,1.0889389881581325e-16,True,P-L,SA,mc_learned_baseline,44,258616
126,261020,2404,,2,1.0838293688072396e-16,True,P-L,SA,mc_learned_baseline,44,261020
