condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
fit_quarter,43,131072,131072,30,1.9626655982474508
fit_quarter,44,0,0,0,0.38376000000000016
fit_quarter,44,6553,4096,1,0.5065373374732247
fit_quarter,44,13107,12288,3,0.7830003667563874
fit_quarter,44,19660,16384,4,0.9337729456810987
fit_quarter,44,26214,24576,6,1.2319469112117107
fit_quarter,44,32768,32768,8,1.4928313613520534
fit_quarter,44,39321,36864,9,1.6053369582794323
fit_quarter,44,45875,45056,11,1.7689853543810234
fit_quarter,44,52428,49152,12,1.8310893973902904
fit_quarter,44,58982,57344,14,1.915918878764647
fit_quarter,44,65536,65536,16,1.958916821764635
fit_quarter,44,72089,69632,17,1.9626497119766617
fit_quarter,44,78643,75776,18,1.9626497119766617
fit_quarter,44,85196,83968,20,1.962665583846628
fit_quarter,44,91750,90112,21,1.962665583846628
fit_quarter,44,98304,96256,22,1.962665583846628
fit_quarter,44,104857,104448,24,1.9626655947929332
fit_quarter,44,111411,108544,25,1.9626655961057269
fit_quarter,44,117964,114688,26,1.9626655965968547
fit_quarter,44,124518,122880,28,1.9626655976094904
fit_quarter,44,131072,131072,30,1.9626655979498464
fit_quarter,45,0,0,0,0.38376000000000043
fit_quarter,45,6553,4096,1,0.5088685330331809
fit_quarter,45,13107,12288,3,0.7929094120166771
fit_quarter,45,19660,16384,4,0.9509021675711153
fit_quarter,45,26214,24576,6,1.2617126959012896
fit_quarter,45,32768,32768,8,1.5144510570524117
fit_quarter,45,39321,36864,9,1.6269033398954091
fit_quarter,45,45875,45056,11,1.7874726370172747
fit_quarter,45,52428,49152,12,1.8436820865102306
fit_quarter,45,58982,57344,14,1.9216476133181128
fit_quarter,45,65536,65536,16,1.959673765212789
fit_quarter,45,72089,71680,17,1.9626476936078334
fit_quarter,45,78643,77824,18,1.9626476936078334
fit_quarter,45,85196,83968,19,1.9626654094346196
fit_quarter,45,91750,90112,20,1.9626654094346196
fit_quarter,45,98304,96256,21,1.9626654094346196
fit_quarter,45,104857,104448,23,1.9626655916460223
fit_quarter,45,111411,108544,24,1.9626655945134608
fit_quarter,45,117964,116736,26,1.962665596827685
fit_quarter,45,124518,120832,27,1.96266559731486
fit_quarter,45,131072,131072,29,1.9626655975425287
fit_quarter,46,0,0,0,0.3837599999999999
fit_quarter,46,6553,4096,1,0.5031243014084806
fit_quarter,46,13107,12288,3,0.7746515477446295
fit_quarter,46,19660,16384,4,0.9403369404983641
fit_quarter,46,26214,24576,6,1.247419711902087
fit_quarter,46,32768,32768,8,1.509870548146473
fit_quarter,46,39321,36864,9,1.6165750292868246
fit_quarter,46,45875,45056,11,1.7804609998597554
fit_quarter,46,52428,49152,12,1.8379965250263328
fit_quarter,46,58982,57344,14,1.9218797501626015
fit_quarter,46,65536,65536,16,1.959932725765818
fit_quarter,46,72089,69632,17,1.9626545843379055
fit_quarter,46,78643,73728,18,1.9626654893945272
fit_quarter,46,85196,79872,19,1.962665574900886
fit_quarter,46,91750,90112,21,1.9626655930246208
fit_quarter,46,98304,96256,22,1.9626655930246208
fit_quarter,46,104857,104448,24,1.962665596307214
fit_quarter,46,111411,110592,25,1.962665596307214
fit_quarter,46,117964,114688,26,1.9626655970429083
fit_quarter,46,124518,120832,27,1.962665597310429
fit_quarter,46,131072,131072,29,1.9626655978419147
fit_quarter,47,0,0,0,0.38376000000000016
fit_quarter,47,6553,4096,1,0.5083985647298241
fit_quarter,47,13107,12288,3,0.7891641078398866
fit_quarter,47,19660,16384,4,0.9360287594128874
fit_quarter,47,26214,24576,6,1.2350924701823682
fit_quarter,47,32768,32768,8,1.503931138288385
fit_quarter,47,39321,36864,9,1.6124188213947817
fit_quarter,47,45875,45056,11,1.7797954792188508
fit_quarter,47,52428,49152,12,1.8380336250963651
fit_quarter,47,58982,55296,13,1.8619249047364999
fit_quarter,47,65536,63488,15,1.9334929949781108
fit_quarter,47,72089,67584,16,1.9524092017349968
fit_quarter,47,78643,77824,18,1.9625528769236045
fit_quarter,47,85196,83968,19,1.9626648543467116
fit_quarter,47,91750,88064,20,1.9626655766696972
fit_quarter,47,98304,98304,22,1.9626655925867695
fit_quarter,47,104857,102400,23,1.9626655948749914
fit_quarter,47,111411,110592,25,1.9626655968334803
fit_quarter,47,117964,116736,26,1.9626655971567062
fit_quarter,47,124518,122880,27,1.962665597411572
fit_quarter,47,131072,131072,29,1.9626655980379328
fit_quarter,48,0,0,0,0.3837600000000002
fit_quarter,48,6553,4096,1,0.49783153084156
fit_quarter,48,13107,12288,3,0.7924878208243005
fit_quarter,48,19660,16384,4,0.9479559168244996
fit_quarter,48,26214,24576,6,1.255425740409155
fit_quarter,48,32768,32768,8,1.5265345853604237
fit_quarter,48,39321,36864,9,1.634416790190917
fit_quarter,48,45875,45056,11,1.7915655794490517
fit_quarter,48,52428,49152,12,1.8454894516931388
fit_quarter,48,58982,57344,14,1.9205699727049002
fit_quarter,48,65536,65536,16,1.9623856192985534
fit_quarter,48,72089,69632,17,1.9626636747777542
fit_quarter,48,78643,75776,18,1.9626655458811233
fit_quarter,48,85196,81920,19,1.9626655800014787
fit_quarter,48,91750,90112,21,1.962665594070157
fit_quarter,48,98304,96256,22,1.9626655950871532
fit_quarter,48,104857,104448,24,1.962665596941666
fit_quarter,48,111411,108544,25,1.9626655974244138
fit_quarter,48,117964,114688,26,1.9626655974244138
fit_quarter,48,124518,122880,28,1.9626655980285688
fit_quarter,48,131072,129024,29,1.962665598143846
fit_quarter,49,0,0,0,0.3837600000000004
fit_quarter,49,6553,4096,1,0.5030769158833676
fit_quarter,49,13107,12288,3,0.7764329830073375
fit_quarter,49,19660,16384,4,0.9163488947335157
fit_quarter,49,26214,24576,6,1.2346743320679727
fit_quarter,49,32768,32768,8,1.5072462803815934
fit_quarter,49,39321,36864,9,1.6203020479355361
fit_quarter,49,45875,45056,11,1.7785559473721646
fit_quarter,49,52428,49152,12,1.834788862507013
fit_quarter,49,58982,57344,14,1.9155711126329087
fit_quarter,49,65536,65536,16,1.9574053538277416
fit_quarter,49,72089,71680,17,1.9626080564538533
fit_quarter,49,78643,77824,18,1.9626651647832913
fit_quarter,49,85196,83968,19,1.9626655669520865
fit_quarter,49,91750,90112,20,1.9626655841770133
fit_quarter,49,98304,96256,21,1.9626655899943934
fit_quarter,49,104857,100352,22,1.9626655938262891
fit_quarter,49,111411,110592,24,1.9626655961540467
fit_quarter,49,117964,116736,25,1.9626655961540467
fit_quarter,49,124518,122880,26,1.9626655961540467
fit_quarter,49,131072,131072,28,1.962665596861048
