condition,seed,budget_checkpoint,actor_source_steps,episodes,distance,coverage,all_covered,collision_pairs,collisions_per_agent,J,mean_reward,mean_coverage,tail_coverage,tail_all_covered,J_se,coverage_se,distance_se,mean_reward_se,mean_coverage_se,tail_coverage_se,tail_all_covered_se
mappo,40,15000000,15000000,1024,0.08882928334227405,0.774169921875,0.4375,0.072001953125,0.0360009765625,-24.731271501655293,-0.339125888460731,0.6001147460937499,0.7375781250000001,0.370234375,0.29843684589127945,0.0075816198685820305,0.0020515051676729154,0.00444244795563668,0.004765845238462343,0.005799995430230813,0.009473030546785529
mappo,40,15500000,15499200,1024,0.0905851987972934,0.782958984375,0.443359375,0.08304687499999999,0.041523437499999996,-24.54838484471935,-0.33751639376876374,0.62228759765625,0.759443359375,0.4121875,0.3207648293377647,0.007437713204857468,0.0023998675576200235,0.004885864669001355,0.004662627995624792,0.005761265334497832,0.010084673101677271
mappo,40,16000000,16000000,1024,0.08754740446781625,0.787353515625,0.45703125,0.08082031249999999,0.040410156249999996,-24.74192638051617,-0.33968100260969214,0.6125146484375,0.7512109375,0.401875,0.3113413480127727,0.007328366136720033,0.0021608524648201576,0.0046951894696061255,0.004740004578189442,0.005762182022967299,0.009708903884492762
mappo,40,16500000,16499200,1024,0.09131254298726488,0.7734375,0.4365234375,0.07635742187500001,0.038178710937500006,-25.221017820742063,-0.34765995049938053,0.60079345703125,0.739970703125,0.378046875,0.3271304217560646,0.007658239998628175,0.0024173738465855517,0.004992719902082114,0.004730172595503558,0.005815471135791573,0.00957615002844498
mappo,40,17000000,17000000,1024,0.09338013558587309,0.77294921875,0.4365234375,0.07127929687500001,0.035639648437500004,-25.24740548889511,-0.3479235019269258,0.60789794921875,0.7463720703125,0.394140625,0.3256967970126777,0.007581393158427008,0.0024872327633406115,0.004969004289290253,0.0048352909914992975,0.00592956823138705,0.010147790425152396
mappo,40,17500000,17499200,1024,0.09697317008400991,0.749267578125,0.3798828125,0.069375,0.0346875,-25.72155821700898,-0.35489757129734845,0.5881494140625001,0.726044921875,0.34923828125,0.3153696775883354,0.007835343599675297,0.0024535542855284214,0.004779723373931428,0.004650935268409743,0.0057433632259917735,0.009399599419229543
mappo,40,18000000,18000000,1024,0.09171918351282872,0.77978515625,0.435546875,0.08400390625000001,0.042001953125000005,-25.20840813069058,-0.3476911261230521,0.6081103515624999,0.7457177734375,0.39080078125,0.33521194683129024,0.00747078002346515,0.0024092561668383047,0.0051272299640869184,0.004725658118539556,0.005749809858865207,0.009480212775111008
mappo,40,18500000,18499200,1024,0.08835592973822275,0.800048828125,0.4619140625,0.08623046875000001,0.043115234375000006,-25.00274776612516,-0.34393323083743804,0.62444580078125,0.7664111328125001,0.41855468749999997,0.32515345865683354,0.006977287809073057,0.0023310614033151163,0.0049067932673137245,0.004619798312560106,0.005569960570349864,0.010277057833560506
mappo,40,19000000,19000000,1024,0.09095412917261168,0.7841796875,0.453125,0.07669921874999999,0.038349609374999996,-25.130372439432733,-0.34665127635173176,0.6047216796874999,0.7397119140625,0.3737890625,0.32494341109545677,0.007460368912674411,0.00231225408953665,0.0049100910815875936,0.004751827587185601,0.00574553253326798,0.009641500620668398
mappo,40,19500000,19499200,1024,0.09348324391590862,0.76904296875,0.439453125,0.083857421875,0.0419287109375,-25.22759954935036,-0.3480250083376534,0.610205078125,0.7480224609375,0.39439453124999996,0.3287486952126895,0.007854612920206954,0.0025414195791221656,0.005058729345983813,0.004726397995155339,0.005848569723649019,0.009753275101992379
mappo,40,20000000,20000000,1024,0.0852409223861047,0.80078125,0.4853515625,0.08033203125,0.040166015625,-24.21380144678606,-0.3314104450817872,0.6359228515625,0.772900390625,0.44376953125,0.3181463220536284,0.007203597392578729,0.0022206462157046535,0.004774222780619157,0.004850240956909053,0.005795713924879694,0.010512304560568526
ippo,40,0,0,1024,0.9776202255665976,0.007080078125,0.0,0.04603515625000001,0.023017578125000004,-96.41198180968627,-1.5931997915066767,0.01324951171875,0.008740234375,0.0,0.7334058897930389,0.0012966201740869843,0.01179091672687555,0.012770241325081129,0.0004202758667856455,0.0004489865753436026,0.0
ippo,40,500000,499200,1024,0.22183849184323517,0.207275390625,0.001953125,0.10402343750000001,0.052011718750000005,-38.90660334798932,-0.5779886444982079,0.1620947265625,0.1961328125,0.00134765625,0.37344808061644125,0.006346495011776968,0.0031147013496935993,0.005807939387746583,0.0020277179541101573,0.0029116087474337603,0.000271012272128078
ippo,40,1000000,1000000,1024,0.15860707559300763,0.388671875,0.0361328125,0.10893554687500001,0.054467773437500006,-32.08907260666097,-0.4644303962565526,0.30161376953124996,0.37203125000000004,0.03005859375,0.3572823001421501,0.008358321476216934,0.0029200002630057472,0.005575798648795936,0.00345661044835042,0.004596987300333839,0.001786031883623062
ippo,40,1500000,1499200,1024,0.1471101775714043,0.45751953125,0.0625,0.138369140625,0.0691845703125,-30.913545307117136,-0.4446220870780633,0.3678271484375,0.4523291015625,0.059960937500000006,0.367466086893623,0.00838503289567574,0.0028886016629832067,0.005731514055646718,0.0036368903555757362,0.004826044000358973,0.002590905587542555
ippo,40,2000000,2000000,1024,0.13779363336972014,0.52587890625,0.1015625,0.141201171875,0.0706005859375,-30.842670923866653,-0.4424858128264036,0.40226318359375,0.4957421875,0.092890625,0.38983051029980476,0.008528230642248934,0.003023954599296753,0.006087343490647178,0.004227087011594569,0.005442714956197708,0.0037152496152909067
