experiment,method,label,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample,variant,source_n,target_n
P-L-final-transfer,DA,mc_learned_baseline,False,source_steps_total,262116.0,0.0,10,262116.0,262116.0,training_seed_or_data_batch,False,fixed-edge,4,6
P-L-final-transfer,DA,mc_learned_baseline,False,frozen_actor_return_diagnostic,9.4719998539439,2.866189157436417,10,7.647999820424591,10.479999876197818,training_seed_or_data_batch,False,fixed-edge,4,6
P-L-final-transfer,DA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,fixed-edge,4,6
P-L-final-transfer,DA,mc_learned_baseline,False,source_steps_total,262116.0,0.0,10,262116.0,262116.0,training_seed_or_data_batch,False,composition,4,2
P-L-final-transfer,DA,mc_learned_baseline,False,frozen_actor_return_diagnostic,1.863999983525974,0.5290494516580706,10,1.527999989942766,2.0399999809972376,training_seed_or_data_batch,False,composition,4,2
P-L-final-transfer,DA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,composition,4,2
P-L-final-transfer,DA,mc_learned_baseline,False,source_steps_total,262116.0,0.0,10,262116.0,262116.0,training_seed_or_data_batch,False,composition,4,6
P-L-final-transfer,DA,mc_learned_baseline,False,frozen_actor_return_diagnostic,5.591999950577922,1.5871483549742118,10,4.583999969828298,6.119999942991714,training_seed_or_data_batch,False,composition,4,6
P-L-final-transfer,DA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,composition,4,6
T-L,AN,mc_learned_baseline,False,source_steps_total,262136.0,0.0,10,262136.0,262136.0,training_seed_or_data_batch,False,,,
T-L,AN,mc_learned_baseline,False,source_steps_training,38656.0,0.0,10,38656.0,38656.0,training_seed_or_data_batch,False,,,
T-L,AN,mc_learned_baseline,False,source_steps_critic,38656.0,0.0,10,38656.0,38656.0,training_seed_or_data_batch,False,,,
