experiment,method,label,actor_class,sample_episodes,fit_steps,direction_method,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-A,AN,mc_raw,table,2048,1000,AN,False,learned_direction_derivative,0.2689447348620944,0.03406325569789694,10,0.24942490920208993,0.29005128375369194,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,projected_direction_derivative,0.2689447348620944,0.03406325569789694,10,0.24942490920208993,0.29005128375369194,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,realized_path_derivative,0.26894473486209397,0.03406325569789743,10,0.24942490920208918,0.2900512837536915,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,forward_kl_training,1.0074590028987516e-17,3.197780145547594e-17,10,-8.647404369074642e-18,2.900878039369834e-17,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,forward_kl_validation,1.0141626243101721e-17,3.2402833630486804e-17,10,-8.594612101331232e-18,2.936018453763541e-17,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,forward_kl_exact,1.0045569143502488e-17,3.1944742377537465e-17,10,-8.678535610441675e-18,2.8873174589244296e-17,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,old_new_kl,0.00034523702363620777,8.71489358274588e-05,10,0.00029653797292866736,0.0003993119763452632,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,direction_realization_residual,5.460349331654037e-30,5.747362398865986e-30,10,2.4613507439316655e-30,9.42834790421303e-30,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,seconds,0.061903460044413806,0.0014663873963703946,10,0.061071764260996135,0.0627925647632219,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,learned_q_0,0.047796754880908406,0.05223633653812122,10,0.01711915834341735,0.07872300189482168,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,learned_q_1,0.36525904506792617,0.04451961442341994,10,0.3389202291671817,0.3925180948558074,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,candidate_p_0,0.3020153924153885,0.002202730234670317,10,0.30072133082986974,0.3033214689119742,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,candidate_p_1,0.715110220881676,0.0018138540327330454,10,0.7140353682007337,0.7162192646480589,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,1000,,False,source_steps_total,2548.0,0.0,10,2548.0,2548.0,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,1000,,False,actual_return_gain,3.6542957838813024,1.102925807170527,10,2.956744039984284,4.003071884734694,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,1000,,False,realized_path_derivative,2.244788645549001,0.15590075412985382,10,2.146187883586874,2.2940895320396217,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,1000,,False,old_new_kl,2.086657820638468,0.26935792868311165,10,1.9162976169737238,2.1718414098957752,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,1000,,False,candidate_p_0,0.897433942054694,0.3147610737438712,10,0.6983615239815262,0.9969701887996057,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,1000,,False,candidate_p_1,0.9983917914364385,1.267248060343659e-10,10,0.9983917913587502,0.9983917915103405,training_seed_or_data_batch,False
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,source_steps_total,2548.0,0.0,10,2548.0,2548.0,training_seed_or_data_batch,False
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,eta,0.1,0.0,10,0.1,0.1,training_seed_or_data_batch,False
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,ideal_return_gain,0.028095038930868323,0.003819092414698901,10,0.025932588426519534,0.030450052617563,training_seed_or_data_batch,False
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,actual_return_gain,0.012670927841074547,2.0929977277037943e-09,10,0.012670926639717167,0.012670929122044707,training_seed_or_data_batch,False
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,learned_direction_derivative,0.2689447348620944,0.03406325569789694,10,0.24942490920208993,0.29005128375369194,training_seed_or_data_batch,False
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,projected_direction_derivative,0.19214425762005108,0.03179298441616814,10,0.1747406327751948,0.2116751137969372,training_seed_or_data_batch,False
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,realized_path_derivative,0.12095987439993146,1.911603533237127e-08,10,0.12095986342754005,0.12095988609945235,training_seed_or_data_batch,False
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,forward_kl_training,0.00013989389735615405,4.540704846989316e-05,10,0.00011341620980529677,0.0001667068982055102,training_seed_or_data_batch,False
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,forward_kl_validation,0.00013995407496939898,4.641978289672302e-05,10,0.00011303765796582574,0.00016706424059985677,training_seed_or_data_batch,False
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,forward_kl_exact,0.00014002636378614993,4.540984216615775e-05,10,0.00011334706097387197,0.0001668942517273967,training_seed_or_data_batch,False
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,old_new_kl,9.442236641212876e-05,2.9831762844968845e-11,10,9.442234928903377e-05,9.442238466997305e-05,training_seed_or_data_batch,False
