experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,return_check_gain,return_check_mode,return_check_standard_error,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,AN,mc_learned_baseline,False,45,22,62768,5632,5632,0,47104,4400,31384,125536,262144,0.8751562500000001,0.8598,0.8537997799567196,0.002729641791106019,1.0780974252112809e-05,public_state_tabular_independent_mc,0,0.3786884916846259,0.9893636999186128,True,accepted_empirical,0.05,2,8.987694801602378e-11,-0.008572771218475304,100,5.0,0.006503906250000001,empirical,0.0034999180912951887,0.0591027789738457,0.0224031722074894,0.02716202683094704,0.006497549824628363,0.00871004398843835,0.02039035185623159
T-L,AN,mc_learned_baseline,False,45,23,65528,5888,5888,0,49152,4600,32764,131056,262144,0.8636718750000001,0.8928,0.8594894644263275,0.005689684469607825,6.871225981763642e-05,public_state_tabular_independent_mc,0,0.37373222215887153,1.0321447999449447,True,accepted_empirical,0.1,1,1.1304772019135888e-09,-0.015455946899613599,100,5.0,0.0045703125,empirical,0.00525642947904794,0.07526332649371795,0.025360570218043707,0.03434212855525698,0.00916114482261049,0.013957166861346225,0.01706984391425203
T-L,AN,mc_learned_baseline,False,45,24,68288,6144,6144,0,51200,4800,34144,136576,262144,0.8411718750000001,0.8982000000000001,0.869168199478537,0.009678735052209508,0.00014240093489192873,public_state_tabular_independent_mc,0,0.36586853539422004,1.0775801999261603,True,accepted_empirical,0.1,1,2.109932774254846e-09,-0.030189798447837125,100,5.0,0.012597656249999999,empirical,0.005151525075711901,0.11689402036229521,0.044613507724296696,0.01060420005840812,0.0005254447299322185,0.02956801592005781,0.024371281610211494
T-L,AN,mc_learned_baseline,False,45,25,71048,6400,6400,0,53248,5000,35524,142096,262144,0.8552343750000002,0.9066,0.8794558733756294,0.010287673897092398,0.00018711578484412113,public_state_tabular_independent_mc,0,0.35700720298534233,1.1270300999749452,True,accepted_empirical,0.1,1,7.935543266924323e-10,-0.038307335039884594,100,5.0,0.01716796875,empirical,0.006061048367413936,0.11785535258615389,0.04469676188814659,0.013007541654793897,0.0034598914362695453,0.03935218429405763,0.01881027328636834
T-L,AN,mc_learned_baseline,False,45,26,73808,6656,6656,0,55296,5200,36904,147616,262144,0.8756250000000001,0.9009,0.8865210930091363,0.007065219633506925,9.859066386472872e-05,public_state_tabular_independent_mc,0,0.3506899577982927,1.179545999970287,True,accepted_empirical,0.1,1,1.3139516473581904e-09,-0.020325055309741782,100,5.0,0.003984375,empirical,0.0032828712883703807,0.08395741518899338,0.030742619151457456,0.006946483654548419,0.0006531249704003991,0.02033999619675004,0.018826021606083383
T-L,AN,mc_learned_baseline,False,45,27,76568,6912,6912,0,57344,5400,38284,153136,262144,0.8620312500000002,0.9213,0.8954611201942453,0.008940027185109,0.00019700415047079888,public_state_tabular_independent_mc,0,0.34232192184774535,1.2376809999113902,True,accepted_empirical,0.1,1,2.8944646287919156e-09,-0.04290776628281677,100,5.0,0.017167968750000002,empirical,0.006278492282038302,0.10163120127593908,0.04107598588555668,0.007329159715743105,0.008415212087776756,0.04252309520320809,0.00911482819071436
T-L,AN,mc_learned_baseline,False,45,28,79328,7168,7168,0,59392,5600,39664,158656,262144,0.8798437500000001,0.9129,0.9000562118332426,0.004595091638997295,7.947265502992743e-05,public_state_tabular_independent_mc,0,0.3376163446282094,1.2756438999203965,True,accepted_empirical,0.1,1,1.4339244009810392e-09,-0.018903667764063783,100,5.0,0.00802734375,empirical,0.004032165848302606,0.06418683746337647,0.02199757880424471,0.03190024436606653,0.005873260918840351,0.016736361038800475,0.009177257321646693
T-L,AN,mc_learned_baseline,False,45,29,82088,7424,7424,0,61440,5800,41044,164176,262144,0.8779687500000002,0.9125999999999999,0.907238131349175,0.007181919515932389,0.00014524012684316925,public_state_tabular_independent_mc,0,0.33024159315479684,1.3195201000198722,True,accepted_empirical,0.1,1,2.6981483288866914e-09,-0.030645296359879663,100,5.0,0.0005859375000000001,empirical,0.0013112212732744476,0.08092564735374393,0.030940820222407378,0.01050103630279653,0.003609659326590701,0.03066935537701765,0.010252783444275021
T-L,AN,mc_learned_baseline,False,45,30,84848,7680,7680,0,63488,6000,42424,169696,262144,0.8828906250000002,0.9420000000000001,0.9153687243304499,0.008130592981274942,0.000280310279451251,public_state_tabular_independent_mc,0,0.3219588032875668,1.36677049996797,True,accepted_empirical,0.1,1,4.366285338444417e-09,-0.05900321711770955,100,5.0,0.01142578125,empirical,0.005223149694445056,0.10010480957031252,0.03739799600602134,0.004308212224726993,0.025569222854883028,0.06333265158998073,-0.013651131744761583
T-L,AN,mc_learned_baseline,False,45,31,87608,7936,7936,0,65536,6200,43804,175216,262144,0.9215625000000002,0.8823000000000001,0.9183537172735242,0.002984992943074305,3.430225844268174e-05,public_state_tabular_independent_mc,0,0.3183646549282042,1.4120611000107601,True,accepted_empirical,0.1,1,4.720067831175778e-10,-0.006970799996507752,100,5.0,0.0028710937500000004,empirical,0.0024996020752504396,0.034856796264648444,0.010736702731208352,0.02158715845258463,0.00020712622958603583,0.007030094902083894,0.009299218383563755
