experiment,method,label,data_seed,dataset_sha256,sample_episodes,source_steps_total,source_steps_training,source_steps_validation,direction_error,direction_norm,exact_score,validation_score,validation_score_variance,validation_gradient_trace_variance,fixed_oracle_q_score_variance,fixed_oracle_q_gradient_trace_variance,curvature_min,curvature_max,optimization_seconds,direction_loss,direction_steps,q_bound,q_coefficient_0,q_coefficient_1
P-E,AN,exact_advantage,1001,ea4d1c5fe2d661ac95c35a261dcd2fc0207f17686cf282679c40fb4617f55e58,128,628,128,500,0.03678198221432182,0.06673737821979475,0.029746017785678078,0.01674088201787107,0.506236916939458,4.670658038426129,0.4240687266451923,4.53107495644565,0.84,0.8400000000000001,0.00936349993571639,-0.06564068154645715,100,5.0,0.3481268277326941,0.22720161571674025
P-E,SA,exact_advantage,1001,ea4d1c5fe2d661ac95c35a261dcd2fc0207f17686cf282679c40fb4617f55e58,128,628,128,500,0.03825341847493455,0.06966693157619558,0.028274581525065373,0.014797610509096202,0.5279022427664104,4.784551266435656,0.44797010883889166,4.86749151492582,0.36,1.9599999999999997,0.011526199989020824,-0.06695797309818807,100,5.0,0.3575982363204047,0.23016741681223085
P-E,AN,mc_raw,1001,ea4d1c5fe2d661ac95c35a261dcd2fc0207f17686cf282679c40fb4617f55e58,128,628,128,500,0.048685657431839675,0.05081155673867212,0.017842342568160266,0.006194791888379147,0.4055223925433689,5.504545265284472,0.5173516164975367,5.3176051024379065,0.84,0.8400000000000001,0.009974600281566381,-0.04960360274077897,100,5.0,0.3419565265229491,0.15119657230331554
P-E,SA,mc_raw,1001,ea4d1c5fe2d661ac95c35a261dcd2fc0207f17686cf282679c40fb4617f55e58,128,628,128,500,0.05008386902179497,0.05318365004220752,0.016444130978204956,0.00432883244997306,0.4232586890813761,5.555240380040093,0.5482685957541619,5.756828977900833,0.36,1.9599999999999997,0.008764100261032581,-0.05070005715531027,100,5.0,0.3510419231868775,0.15287084071185422
P-E,AN,exact_advantage,1002,10ca52a43d038b864dfb2edc2c307b981fc2f02206291456b72ba73080175563,128,628,128,500,0.0031344560526691536,0.04241057392655172,0.06339354394733077,0.07343849068784548,0.2741129316662725,4.905162182136599,0.3895296671808427,4.871624622376345,0.84,0.8400000000000001,0.008642999920994043,-0.04356717200598781,100,5.0,0.0794000957391146,0.28274555228637965
P-E,SA,exact_advantage,1002,10ca52a43d038b864dfb2edc2c307b981fc2f02206291456b72ba73080175563,128,628,128,500,0.002409812556862305,0.04539361696307978,0.06411818744313763,0.0743233560735578,0.2916958234831982,5.082549107986492,0.41024901882140385,5.129901302866921,0.36,1.9599999999999997,0.008142100181430578,-0.044979345812965324,100,5.0,0.08028247448731421,0.29286490033864904
P-E,AN,mc_raw,1002,10ca52a43d038b864dfb2edc2c307b981fc2f02206291456b72ba73080175563,128,628,128,500,0.0023653846161815787,0.04823492886492458,0.06416261538381834,0.08304870349622495,0.37136665491759563,5.59097842460625,0.4527643795025741,5.558760725863676,0.84,0.8400000000000001,0.008719699922949076,-0.04922070113849351,100,5.0,0.09786073379143069,0.2988640858197545
P-E,SA,mc_raw,1002,10ca52a43d038b864dfb2edc2c307b981fc2f02206291456b72ba73080175563,128,628,128,500,0.001853745362880075,0.05118942482712427,0.06467425463711986,0.08392995084862535,0.39208857825896637,5.829056124032025,0.47894517264758407,5.893956065021998,0.36,1.9599999999999997,0.00811329996213317,-0.05080137205946079,100,5.0,0.09884323555510825,0.3083066584178302
P-E,AN,exact_advantage,1003,edd458edd228981791ca22c6dbc065f8f7370a9c4f1882b82c948bbe1f5be8b4,128,628,128,500,0.021381954729671648,0.1014977723049708,0.04514604527032827,0.06478782604307945,0.5970483916877989,3.3541086702766183,0.29583496667814146,3.2772833716838177,0.84,0.8400000000000001,0.008633899968117476,-0.10185184722177763,100,5.0,0.3119979544433478,0.369444609932053
P-E,SA,exact_advantage,1003,edd458edd228981791ca22c6dbc065f8f7370a9c4f1882b82c948bbe1f5be8b4,128,628,128,500,0.017442285712785194,0.09518727658005535,0.049085714287214754,0.06846250065785522,0.5536962009564063,3.4588336606222416,0.30748461925401316,3.4348443345054522,0.36,1.9599999999999997,0.008508800063282251,-0.09872116832986347,100,5.0,0.2877375893108329,0.3656068432160974
P-E,AN,mc_raw,1003,edd458edd228981791ca22c6dbc065f8f7370a9c4f1882b82c948bbe1f5be8b4,128,628,128,500,0.02404260671705655,0.10155276919555914,0.04248539328294337,0.06056758971535111,0.6855167098542222,3.8204466267524797,0.3440521634380356,3.7293650503976856,0.84,0.8400000000000001,0.010398599784821272,-0.10225447063796317,100,5.0,0.3274975449895722,0.3605419462756919
P-E,SA,mc_raw,1003,edd458edd228981791ca22c6dbc065f8f7370a9c4f1882b82c948bbe1f5be8b4,128,628,128,500,0.019957960589127192,0.09514455840475182,0.046570039410872746,0.06463694948550212,0.637343134812481,3.9806688970257658,0.36169823188857503,3.9738563921211307,0.36,1.9599999999999997,0.008708299603313208,-0.09887563986237724,100,5.0,0.30368664895100655,0.35678448007583796
P-E,AN,exact_advantage,1000,015ac385f4f9f04ad54d6543a6067214d30065f3de4594913e42ec5db6eaa330,512,1012,512,500,0.0021974786514044682,0.09189907733632978,0.06433052134859547,0.09956826638576895,0.3507853177739431,3.1099484207989088,0.24590288604890387,3.1196751665258953,0.84,0.8400000000000001,0.02687350008636713,-0.09537306908979504,100,5.0,0.09335034367793178,0.4201546319109103
P-E,SA,exact_advantage,1000,015ac385f4f9f04ad54d6543a6067214d30065f3de4594913e42ec5db6eaa330,512,1012,512,500,0.001878275523918329,0.0894712177646157,0.06464972447608158,0.0995223685783645,0.3429342989494041,3.2365981624392943,0.2544492187411684,3.2288178602333204,0.36,1.9599999999999997,0.019262699875980616,-0.09395930747894184,100,5.0,0.09431857020802903,0.41423615930861346
P-E,AN,mc_raw,1000,015ac385f4f9f04ad54d6543a6067214d30065f3de4594913e42ec5db6eaa330,512,1012,512,500,0.0016733867418330841,0.08900412509935017,0.06485461325816687,0.09717852167747423,0.3829924567520754,3.463074250761437,0.2821353912346353,3.4732892836062916,0.84,0.8400000000000001,0.018033199943602085,-0.09224577455469005,100,5.0,0.08112190727645024,0.41497989157884324
P-E,SA,mc_raw,1000,015ac385f4f9f04ad54d6543a6067214d30065f3de4594913e42ec5db6eaa330,512,1012,512,500,0.0013764986935114838,0.08660686168826785,0.06515150130648843,0.09712520662282256,0.3739682580907574,3.688455877758901,0.2966145490280332,3.6694690376744195,0.36,1.9599999999999997,0.018562099896371365,-0.09086439321222275,100,5.0,0.08190389772762927,0.4091049323147552
P-E,AN,exact_advantage,1001,5e5534c2b9ba80e6b20cc518672292f39d2002dd8878a88b826f998ccc92e52e,512,1012,512,500,0.0012215604011063378,0.08186491533979012,0.06530643959889357,0.07899416853520812,0.4949518385269513,4.506501768023616,0.4240687266451923,4.53107495644565,0.84,0.8400000000000001,0.0182499997317791,-0.08264088661725179,100,5.0,0.029194220515126216,0.4023209985877257
P-E,SA,exact_advantage,1001,5e5534c2b9ba80e6b20cc518672292f39d2002dd8878a88b826f998ccc92e52e,512,1012,512,500,0.0011550815619168061,0.0810842622898953,0.06537291843808311,0.07902836705561665,0.4899848680170761,4.900081762744581,0.44797010883889166,4.86749151492582,0.36,1.9599999999999997,0.018115199636667967,-0.08222145393552945,100,5.0,0.02858367517736001,0.4004207642879942
P-E,AN,mc_raw,1001,5e5534c2b9ba80e6b20cc518672292f39d2002dd8878a88b826f998ccc92e52e,512,1012,512,500,0.0014877193475729277,0.08570008141837047,0.065040280652427,0.09151199784453913,0.6414905989918043,5.288409977758114,0.5173516164975367,5.3176051024379065,0.84,0.8400000000000001,0.018544699996709824,-0.08680545590012799,100,5.0,0.0377555876140946,0.41120496246196336
P-E,SA,mc_raw,1001,5e5534c2b9ba80e6b20cc518672292f39d2002dd8878a88b826f998ccc92e52e,512,1012,512,500,0.0014088282094711776,0.08489599620466072,0.06511917179052872,0.0915315415267616,0.6348786778463201,5.808885728664165,0.5482685957541619,5.756828977900833,0.36,1.9599999999999997,0.018829199951142073,-0.08636190899024847,100,5.0,0.03668741044974618,0.4093252083494703
P-E,AN,exact_advantage,1002,05477bfa445d20d9a6f2300bbc947624822eb929fdd06ce5b3160b853411de56,512,1012,512,500,0.00345241338379935,0.09880060879195271,0.06307558661620058,0.06980684769157793,0.5389699392014401,4.838806269705756,0.3895296671808427,4.871624622376345,0.84,0.8400000000000001,0.019149200059473515,-0.10187301465104391,100,5.0,0.041888760186184336,0.44143309247532636
P-E,SA,exact_advantage,1002,05477bfa445d20d9a6f2300bbc947624822eb929fdd06ce5b3160b853411de56,512,1012,512,500,0.002101208785022614,0.0907524931226077,0.06442679121497731,0.07104170357376793,0.49814678527455053,5.177209380346127,0.41024901882140385,5.129901302866921,0.36,1.9599999999999997,0.019232199992984533,-0.0973484855678051,100,5.0,0.04230786212831228,0.42293163397423816
P-E,AN,mc_raw,1002,05477bfa445d20d9a6f2300bbc947624822eb929fdd06ce5b3160b853411de56,512,1012,512,500,0.003388371516267678,0.0975754253784528,0.06313962848373224,0.07802962980896751,0.6120487198693808,5.5227969205461624,0.4527643795025741,5.558760725863676,0.84,0.8400000000000001,0.020281299948692322,-0.10061149098064245,100,5.0,0.03373433483095749,0.4391393449123703
P-E,SA,mc_raw,1002,05477bfa445d20d9a6f2300bbc947624822eb929fdd06ce5b3160b853411de56,512,1012,512,500,0.002091886166366971,0.08966567431110838,0.06443611383363297,0.07883941496437889,0.5653206077142394,5.960112885184227,0.47894517264758407,5.893956065021998,0.36,1.9599999999999997,0.020438000094145536,-0.0961336279581909,100,5.0,0.03414836095070102,0.4208689545613127
P-E,AN,exact_advantage,1003,a3ae14c43f1320c708341de051d8df50ed730003445c618efa5d4a597c3d81eb,512,1012,512,500,0.002515031288285793,0.04369283088998016,0.06401296871171412,0.07853345439988049,0.18761877387159648,3.296173485998156,0.29583496667814146,3.2772833716838177,0.84,0.8400000000000001,0.018635400105267763,-0.043548076809627606,100,5.0,0.03146294061084042,0.293312427899761
P-E,SA,exact_advantage,1003,a3ae14c43f1320c708341de051d8df50ed730003445c618efa5d4a597c3d81eb,512,1012,512,500,0.0024728574020560397,0.04389473087132152,0.0640551425979439,0.07860959285314711,0.18832503334941705,3.4232196046220817,0.30748461925401316,3.4348443345054522,0.36,1.9599999999999997,0.018858099821954966,-0.043645762207225,100,5.0,0.031225999368133736,0.29401135685279517
P-E,AN,mc_raw,1003,a3ae14c43f1320c708341de051d8df50ed730003445c618efa5d4a597c3d81eb,512,1012,512,500,0.001951492932368412,0.045696767109598996,0.0645765070676315,0.08100589482622488,0.23675713069392637,3.750326818182132,0.3440521634380356,3.7293650503976856,0.84,0.8400000000000001,0.01855959976091981,-0.045527667479246525,100,5.0,0.048026725284082555,0.2985472790282638
P-E,SA,mc_raw,1003,a3ae14c43f1320c708341de051d8df50ed730003445c618efa5d4a597c3d81eb,512,1012,512,500,0.0019120734964811917,0.045891917687228084,0.06461592650351873,0.08108618326878252,0.23753503937933523,3.9483909677529083,0.36169823188857503,3.9738563921211307,0.36,1.9599999999999997,0.019159100018441677,-0.04562583409827556,100,5.0,0.04771978402512035,0.2992277956868773
