experiment,method,label,sample_episodes,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-E,AN,exact_advantage,128,False,curvature_min,0.8400000000000001,1.1390647892519134e-16,20,0.8400000000000001,0.8400000000000001,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,curvature_max,0.8400000000000001,0.0,20,0.8400000000000001,0.8400000000000001,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,optimization_seconds,0.008273419993929564,0.000871702735064372,20,0.007932666512206197,0.008679765895358287,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,direction_loss,-0.09589371910801923,0.07138017352589643,20,-0.1290257744398702,-0.06886452102767178,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,direction_steps,100.0,0.0,20,100.0,100.0,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,q_bound,5.0,0.0,20,5.0,5.0,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,q_coefficient_0,0.07610969120909404,0.19433140654567096,20,-0.00652967337867738,0.15946486099318705,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,q_coefficient_1,0.3814117029576295,0.13349003725053193,20,0.3275042884292935,0.4419710255405588,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,source_steps_total,628.0,0.0,20,628.0,628.0,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,source_steps_training,128.0,0.0,20,128.0,128.0,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,source_steps_validation,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,direction_error,0.022473789680431004,0.025934815281081297,20,0.0126077949422454,0.03481442881864509,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,direction_norm,0.09989706692838418,0.07793381196511573,20,0.07001067119557926,0.1351643075367013,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,exact_score,0.04405421031956891,0.025934815281081294,20,0.03171357118135482,0.05392020505775451,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,validation_score,0.04423864283311778,0.02359571700550429,20,0.03433847114720854,0.05427741546557174,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,validation_score_variance,0.518904725910456,0.44505363515086954,20,0.3426767528125766,0.7243771712017376,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,validation_gradient_trace_variance,4.079480769848723,0.48562128162498025,20,3.8802997552581253,4.289159373350829,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,fixed_oracle_q_score_variance,0.3629285012487514,0.04757387284301278,20,0.343153904332936,0.3826416892303326,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,fixed_oracle_q_gradient_trace_variance,4.048589477425194,0.5013234669190042,20,3.8408779660697063,4.271824779707262,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,curvature_min,0.36000000000000004,5.695323946259567e-17,20,0.36000000000000004,0.36000000000000004,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,curvature_max,1.9599999999999997,0.0,20,1.9599999999999997,1.9599999999999997,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,optimization_seconds,0.008123864978551864,0.0009128296938137434,20,0.007782031113165431,0.008552887876867317,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,direction_loss,-0.09764858080320458,0.07436892395586411,20,-0.13117750787709614,-0.06916464500172205,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,direction_steps,100.0,0.0,20,100.0,100.0,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,q_bound,5.0,0.0,20,5.0,5.0,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,q_coefficient_0,0.07331772258747088,0.19060226817090697,20,-0.00871462193346497,0.15218627454902633,training_seed_or_data_batch,False
P-E,SA,exact_advantage,128,False,q_coefficient_1,0.38854471636140425,0.14743170271881428,20,0.32859269298754556,0.4548368721611479,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,source_steps_total,628.0,0.0,20,628.0,628.0,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,source_steps_training,128.0,0.0,20,128.0,128.0,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,source_steps_validation,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,direction_error,0.023856878852319928,0.027646871742605487,20,0.013479940768276214,0.036803704282178336,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,direction_norm,0.09728486954324778,0.07983041922618067,20,0.06689467535486582,0.13362905162885602,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,exact_score,0.04267112114768,0.02764687174260549,20,0.02972429571782156,0.053048059231723704,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,validation_score,0.042374990180216496,0.02699314755283873,20,0.03116888094183345,0.0539729715582529,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,validation_score_variance,0.5918032671125999,0.5379446587303899,20,0.38091392963792087,0.8346574312421625,training_seed_or_data_batch,False
P-E,AN,mc_raw,128,False,validation_gradient_trace_variance,4.359564739534914,0.5605932948851313,20,4.128182111453868,4.609184120648264,training_seed_or_data_batch,False
