seed,method,sample_episodes,requested_kl,dataset_sha256,q_0,q_1,reachable,eta,actual_kl,candidate_p_0,candidate_p_1,return_gain,normalized_derivative
1003,DA,2048,0.0003,0735c7b2e4b33120b08c662164a498819bd1333ac22bd4191ec0376957a90d33,1.379765758723534,1.093530553812275,True,0.021965413562756584,0.0003000000000000384,0.3128812059967173,0.7099904286550243,0.021724649123655015,0.22622626137956545
1003,DA,2048,0.001,0735c7b2e4b33120b08c662164a498819bd1333ac22bd4191ec0376957a90d33,1.379765758723534,1.093530553812275,True,0.04008887327103761,0.0010000000000000176,0.32373245604634854,0.7180834486242682,0.04242626675354699,0.22622626137956545
1004,AN,2048,0.0001,fb004b762a4400d05c6bfb8031ac465bfe1f1e5a7a61da245e76721c69e19d85,0.04125554941369926,0.3321067100165756,True,0.05983389633835221,0.0001000000000000183,0.30103778430429534,0.7082790246904036,0.014968955066489043,0.06108915334158762
1004,AN,2048,0.0003,fb004b762a4400d05c6bfb8031ac465bfe1f1e5a7a61da245e76721c69e19d85,0.04125554941369926,0.3321067100165756,True,0.10384005871168234,0.00030000000000001396,0.3018023485059737,0.7142814467250364,0.026405199209596664,0.06108915334158762
1004,AN,2048,0.001,fb004b762a4400d05c6bfb8031ac465bfe1f1e5a7a61da245e76721c69e19d85,0.04125554941369926,0.3321067100165756,True,0.1903354613577845,0.0010000000000000189,0.3033083288166891,0.7258605958010406,0.04985951069080369,0.06108915334158762
1004,SA,2048,0.0001,fb004b762a4400d05c6bfb8031ac465bfe1f1e5a7a61da245e76721c69e19d85,0.041422558208420765,0.3302907269823446,True,0.0601569290687001,0.0001000000000000112,0.30104762067503726,0.7082782136550684,0.014970036244934815,0.06076302827715833
1004,SA,2048,0.0003,fb004b762a4400d05c6bfb8031ac465bfe1f1e5a7a61da245e76721c69e19d85,0.041422558208420765,0.3302907269823446,True,0.10440060369549449,0.00030000000000001174,0.30181944279423906,0.714280047128933,0.026407846422374037,0.06076302827715833
1004,SA,2048,0.001,fb004b762a4400d05c6bfb8031ac465bfe1f1e5a7a61da245e76721c69e19d85,0.041422558208420765,0.3302907269823446,True,0.19136266435570884,0.0010000000000000044,0.3033397464235391,0.7258580605626946,0.04986711623616913,0.06076302827715833
1004,DA,2048,0.0001,fb004b762a4400d05c6bfb8031ac465bfe1f1e5a7a61da245e76721c69e19d85,1.3797651226462413,1.0935305417773777,True,0.012684283462490896,0.00010000000000001311,0.3074016190043366,0.7057931600922857,0.012094556996299577,0.22622624637263544
1004,DA,2048,0.0003,fb004b762a4400d05c6bfb8031ac465bfe1f1e5a7a61da245e76721c69e19d85,1.3797651226462413,1.0935305417773777,True,0.02196541894718865,0.00030000000000001965,0.31288120318364,0.7099904309709048,0.02172465267965934,0.22622624637263544
1004,DA,2048,0.001,fb004b762a4400d05c6bfb8031ac465bfe1f1e5a7a61da245e76721c69e19d85,1.3797651226462413,1.0935305417773777,True,0.04008888317780099,0.001000000000000005,0.32373245086620106,0.7180834528151256,0.04242627328878912,0.22622624637263544
1005,AN,2048,0.0001,ce79a571defd4042d2d7277a1ffcf90969152f836dd64d5c28c39640133309ef,0.08992821306906235,0.35238992386693113,True,0.0554791569167406,0.00010000000000000234,0.3020996120903757,0.7081463807482142,0.015004971314436066,0.06575058056188825
1005,AN,2048,0.0003,ce79a571defd4042d2d7277a1ffcf90969152f836dd64d5c28c39640133309ef,0.08992821306906235,0.35238992386693113,True,0.09627161925400837,0.0003000000000000044,0.3036487089389786,0.7140524787720318,0.026548536300502135,0.06575058056188825
1005,AN,2048,0.001,ce79a571defd4042d2d7277a1ffcf90969152f836dd64d5c28c39640133309ef,0.08992821306906235,0.35238992386693113,True,0.17642226432432903,0.0010000000000000393,0.3067054333628615,0.725445609969344,0.0504124326253772,0.06575058056188825
1005,SA,2048,0.0001,ce79a571defd4042d2d7277a1ffcf90969152f836dd64d5c28c39640133309ef,0.09047111241045377,0.35069022389447174,True,0.055722371386919704,0.0001000000000000157,0.3021215914977139,0.7081426585224091,0.015003962107611957,0.06545313184960766
