condition,seed,budget_checkpoint,actor_source_steps,episodes,distance,coverage,all_covered,collision_pairs,collisions_per_agent,J
fit_quarter,40,200000,197600,20,0.7235706937574365,0.0375,0.0,0.09000000000000001,0.045000000000000005,-84.5609202657429
fit_quarter,41,0,0,20,0.9325410308405919,0.0125,0.0,0.06050000000000001,0.030250000000000006,-90.7992557736334
fit_quarter,41,40000,38400,20,0.9632683532075068,0.0125,0.0,0.0675,0.03375,-91.21620728491438
fit_quarter,41,80000,78400,20,0.6749569675146977,0.0,0.0,0.06800000000000002,0.03400000000000001,-84.43280748619274
fit_quarter,41,120000,119200,20,0.6218361105422107,0.0125,0.0,0.06350000000000001,0.03175000000000001,-79.08594491180163
fit_quarter,41,160000,157600,20,0.6836215329476673,0.025,0.0,0.07700000000000001,0.038500000000000006,-79.21180488394891
fit_quarter,41,200000,198400,20,0.6662344227974307,0.025,0.0,0.093,0.0465,-81.04599780637457
fit_quarter,42,0,0,20,0.9248995140793508,0.0125,0.0,0.06700000000000002,0.03350000000000001,-90.75003151635582
fit_quarter,42,40000,37600,20,0.8555558466892675,0.025,0.0,0.058499999999999996,0.029249999999999998,-88.90941741331271
fit_quarter,42,80000,78400,20,0.9177804728636911,0.025,0.0,0.057500000000000016,0.028750000000000008,-90.84195409060904
fit_quarter,42,120000,120000,20,0.7434215621288576,0.0125,0.0,0.06300000000000001,0.03150000000000001,-86.4231987898844
fit_quarter,42,160000,160000,20,0.7802023986948617,0.0,0.0,0.0635,0.03175,-86.9793654602277
fit_quarter,42,200000,199200,20,0.696345954305787,0.0125,0.0,0.08499999999999999,0.042499999999999996,-88.63988647605206
