target,kind,condition,metric,ci_method,count,mean,std,ci_low,ci_high
agents_8,paired_ours_minus_comparator,no_direction_check,per_agent_return,paired_seed_bootstrap_95_pointwise,10,-1.0360057256519895e-11,7.446150169802768e-12,-1.499338014854246e-11,-6.255514578556999e-12
agents_8,method,no_return_check,per_agent_return,seed_bootstrap_95_pointwise,10,0.4906663999916148,1.744137138824871e-13,0.4906663999915085,0.490666399991711
agents_8,paired_ours_minus_comparator,no_return_check,per_agent_return,paired_seed_bootstrap_95_pointwise,10,-3.202698661830539e-11,6.9742395021723985e-12,-3.6267019942748393e-11,-2.81809249547127e-11
agents_8,method,fit_quarter,per_agent_return,seed_bootstrap_95_pointwise,10,0.4906663998226488,3.1988408903307533e-11,0.4906663998030232,0.4906663998403781
agents_8,paired_ours_minus_comparator,fit_quarter,per_agent_return,paired_seed_bootstrap_95_pointwise,10,1.3693907119360915e-10,2.5089642682983998e-11,1.2302749818893232e-10,1.5221086002714656e-10
agents_8,method,ours,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,4.04121180963557e-11,6.964028718645525e-12,3.6572084666230966e-11,4.465695147004566e-11
agents_8,method,sampled,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,4.057992830652779e-11,8.145358115397679e-12,3.59937012139877e-11,4.545496326557874e-11
agents_8,paired_ours_minus_comparator,sampled,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,-1.678102101720924e-13,1.7377014963510254e-12,-1.241232672199999e-12,7.798832413197232e-13
agents_8,method,pg,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,0.0003243967323358077,1.6492566950391488e-05,0.0003140979314436103,0.0003330739631409554
agents_8,paired_ours_minus_comparator,pg,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,-0.0003243966919236896,1.6492567016630677e-05,-0.0003330739252154852,-0.0003140978874509741
agents_8,method,no_direction_check,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,3.0052060839835806e-11,5.043964945770439e-12,2.734989942854149e-11,3.3235440788370595e-11
agents_8,paired_ours_minus_comparator,no_direction_check,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,1.0360057256519895e-11,7.446150169802768e-12,6.255514578556997e-12,1.4993380148542455e-11
agents_8,method,no_return_check,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,8.385131478050312e-12,1.7441371378433327e-13,8.288986025339895e-12,8.49137538061484e-12
agents_8,paired_ours_minus_comparator,no_return_check,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,3.202698661830539e-11,6.9742395021723985e-12,2.8180924954712696e-11,3.6267019942748393e-11
agents_8,method,fit_quarter,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,1.7735118928996485e-10,3.198840890325401e-11,1.5962183894102644e-10,1.9697684858210886e-10
agents_8,paired_ours_minus_comparator,fit_quarter,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,-1.3693907119360915e-10,2.5089642682983998e-11,-1.5221086002714658e-10,-1.2302749818893232e-10
composition_0.3,method,ours,team_return,seed_bootstrap_95_pointwise,10,2.120602399875981,2.336511655884948e-11,2.1206023998618906,2.120602399889178
composition_0.3,method,sampled,team_return,seed_bootstrap_95_pointwise,10,2.1206023998677117,4.6318382124407865e-11,2.1206023998383277,2.1206023998922205
composition_0.3,paired_ours_minus_comparator,sampled,team_return,paired_seed_bootstrap_95_pointwise,10,8.268807860645211e-12,2.7367669635829994e-11,-5.439834138698529e-12,2.6110434925286074e-11
composition_0.3,method,pg,team_return,seed_bootstrap_95_pointwise,10,2.1190534301205046,7.66940315236862e-05,2.119012131416662,2.1191006328544395
composition_0.3,paired_ours_minus_comparator,pg,team_return,paired_seed_bootstrap_95_pointwise,10,0.0015489697554759818,7.669402776965323e-05,0.001501767017786646,0.0015902684447140357
composition_0.3,method,no_direction_check,team_return,seed_bootstrap_95_pointwise,10,2.1206023998991363,2.3260138120583438e-11,2.120602399885036,2.120602399912248
composition_0.3,paired_ours_minus_comparator,no_direction_check,team_return,paired_seed_bootstrap_95_pointwise,10,-2.315556635323901e-11,2.8465589008948985e-11,-3.9271523810668896e-11,-5.990165030667081e-12
composition_0.3,method,no_return_check,team_return,seed_bootstrap_95_pointwise,10,2.120602399972614,3.5015529454523313e-12,2.1206023999705197,2.1206023999746124
composition_0.3,paired_ours_minus_comparator,no_return_check,team_return,paired_seed_bootstrap_95_pointwise,10,-9.66330127027959e-11,2.324030904296157e-11,-1.1055898418987909e-10,-8.341334400974176e-11
composition_0.3,method,fit_quarter,team_return,seed_bootstrap_95_pointwise,10,2.1206023993044694,1.5291783486028343e-10,2.1206023992123955,2.1206023993900383
composition_0.3,paired_ours_minus_comparator,fit_quarter,team_return,paired_seed_bootstrap_95_pointwise,10,5.715113715609732e-10,1.3256667655094205e-10,4.980803691712054e-10,6.513087569270936e-10
composition_0.3,method,ours,per_agent_return,seed_bootstrap_95_pointwise,10,0.5301505999689953,5.84127913971237e-12,0.5301505999654726,0.5301505999722945
composition_0.3,method,sampled,per_agent_return,seed_bootstrap_95_pointwise,10,0.5301505999669279,1.1579595531101966e-11,0.5301505999595819,0.5301505999730551
composition_0.3,paired_ours_minus_comparator,sampled,per_agent_return,paired_seed_bootstrap_95_pointwise,10,2.067201965161303e-12,6.8419174089574986e-12,-1.3599585346746323e-12,6.5276087313215186e-12
composition_0.3,method,pg,per_agent_return,seed_bootstrap_95_pointwise,10,0.5297633575301262,1.917350788092155e-05,0.5297530328541655,0.5297751582136099
composition_0.3,paired_ours_minus_comparator,pg,per_agent_return,paired_seed_bootstrap_95_pointwise,10,0.00038724243886899544,1.9173506942413307e-05,0.0003754417544466615,0.00039756711117850893
composition_0.3,method,no_direction_check,per_agent_return,seed_bootstrap_95_pointwise,10,0.5301505999747841,5.815034530145859e-12,0.530150599971259,0.530150599978062
